ID,Season,Race,Overtakes,TV,Percentage
160,1993,Canada,11,7,63.64
161,1993,France,24,2,8.33
162,1993,Great Britain,26,4,15.38
163,1993,Germany,51,16,31.37
164,1993,Hungary,39,7,17.95
165,1993,Belgium,42,9,21.43
166,1993,Italy,30,7,23.33
167,1993,Portugal,29,0,0.0
168,1993,Japan,28,8,28.57
169,1993,Australia,14,2,14.29
170,1993,Season,434,92,21.2
171,1994,Brazil,20,3,15.0
172,1994,Pacific,16,7,43.75
173,1994,San Marino,0,0,0.0
174,1994,Monaco,9,1,11.11
175,1994,Spain,14,0,0.0
176,1994,Canada,28,4,14.29
177,1994,France,15,2,13.33
178,1994,Great Britain,36,3,8.33
179,1994,Germany,12,2,16.67
180,1994,Hungary,5,1,20.0
181,1994,Belgium,36,5,13.89
182,1994,Italy,31,3,9.68
183,1994,Portugal,27,3,11.11
184,1994,Europe,15,2,13.33
185,1994,Japan,3,0,0.0
186,1994,Australia,20,8,40.0
187,1994,Season,287,44,15.33
188,1995,Brazil,22,5,22.73
189,1995,Argentina,27,4,14.81
190,1995,San Marino,44,0,0.0
191,1995,Spain,19,2,10.53
192,1995,Monaco,9,0,0.0
193,1995,Canada,9,3,33.33
194,1995,France,9,1,11.11
195,1995,Great Britain,18,1,5.56
196,1995,Germany,22,7,31.82
197,1995,Hungary,5,1,20.0
198,1995,Belgium,26,10,38.46
199,1995,Italy,22,4,18.18
200,1995,Portugal,16,3,18.75
201,1995,Europe,47,6,12.77
202,1995,Pacific,15,7,46.67
203,1995,Japan,31,4,12.9
204,1995,Australia,4,1,25.0
205,1995,Season,345,59,17.1
206,1996,Australia,9,3,33.33
207,1996,Brazil,39,9,23.08
208,1996,Argentina,23,5,21.74
209,1996,Europe,23,6,26.09
210,1996,San Marino,5,2,40.0
211,1996,Monaco,6,2,33.33
212,1996,Spain,6,3,50.0
213,1996,Canada,15,4,26.67
214,1996,France,9,4,44.44
215,1996,Great Britain,10,0,0.0
216,1996,Germany,11,1,9.09
217,1996,Hungary,4,1,25.0
218,1996,Belgium,21,7,33.33
219,1996,Italy,12,0,0.0
220,1996,Portugal,4,3,75.0
221,1996,Japan,15,3,20.0
222,1996,Season,212,53,25.0
223,1997,Australia,4,0,0.0
224,1997,Brazil,33,5,15.15
225,1997,Argentina,36,3,8.33
226,1997,San Marino,5,3,60.0
227,1997,Monaco,31,14,45.16
228,1997,Spain,25,3,12.0
229,1997,Canada,23,9,39.13
230,1997,France,8,3,37.5
231,1997,Great Britain,14,3,21.43
232,1997,Germany,16,4,25.0
233,1997,Hungary,26,10,38.46
234,1997,Belgium,58,14,24.14
235,1997,Italy,5,2,40.0
236,1997,Austria,18,9,50.0
237,1997,Luxembourg,10,3,30.0
238,1997,Japan,11,6,54.55
239,1997,Europe,11,4,36.36
240,1997,Season,334,95,28.44
241,1998,Australia,5,1,20.0
242,1998,Brazil,15,9,60.0
243,1998,Argentina,14,5,35.71
244,1998,San Marino,7,3,42.86
245,1998,Spain,11,2,18.18
246,1998,Monaco,2,1,50.0
247,1998,Canada,10,4,40.0
248,1998,France,17,0,0.0
249,1998,Great Britain,34,7,20.59
250,1998,Austria,26,9,34.62
251,1998,Germany,12,3,25.0
252,1998,Hungary,10,3,30.0
253,1998,Belgium,9,2,22.22
254,1998,Italy,21,3,14.29
255,1998,Luxembourg,6,2,33.33
256,1998,Japan,18,3,16.67
257,1998,Season,217,57,26.27
258,1999,Australia,46,7,15.22
259,1999,Brazil,34,4,11.76
260,1999,San Marino,7,4,57.14
261,1999,Monaco,5,2,40.0
262,1999,Spain,5,1,20.0
263,1999,Canada,15,7,46.67
264,1999,France,42,17,40.48
265,1999,Great Britain,13,4,30.77
266,1999,Austria,30,15,50.0
267,1999,Germany,18,12,66.67
268,1999,Hungary,4,0,0.0
269,1999,Belgium,18,8,44.44
270,1999,Italy,17,12,70.59
271,1999,Europe,29,8,27.59
272,1999,Malaysia,11,2,18.18
273,1999,Japan,4,1,25.0
274,1999,Season,298,104,34.9
275,2000,Australia,11,1,9.09
276,2000,Brazil,22,9,40.91
277,2000,San Marino,1,1,100.0
278,2000,Great Britain,10,3,30.0
279,2000,Spain,8,4,50.0
280,2000,Europe,37,17,45.95
281,2000,Monaco,1,1,100.0
282,2000,Canada,19,9,47.37
283,2000,France,19,8,42.11
284,2000,Austria,28,7,25.0
285,2000,Germany,49,18,36.73
286,2000,Hungary,11,6,54.55
287,2000,Belgium,28,12,42.86
288,2000,Italy,20,8,40.0
289,2000,USA,48,8,16.67
290,2000,Japan,8,1,12.5
291,2000,Malaysia,30,5,16.67
292,2000,Season,350,118,33.71
293,2001,Australia,20,4,20.0
294,2001,Malaysia,56,21,37.5
295,2001,Brazil,31,13,41.94
296,2001,San Marino,8,4,50.0
297,2001,Spain,10,1,10.0
298,2001,Austria,18,7,38.89
299,2001,Monaco,7,0,0.0
300,2001,Canada,12,4,33.33
301,2001,Europe,7,1,14.29
302,2001,France,8,2,25.0
303,2001,Great Britain,8,5,62.5
304,2001,Germany,14,3,21.43
305,2001,Hungary,3,1,33.33
306,2001,Belgium,12,7,58.33
307,2001,Italy,28,8,28.57
308,2001,USA,17,5,29.41
309,2001,Japan,18,3,16.67
310,2001,Season,277,89,32.13
311,2002,Australia,16,3,18.75
