Team,Delta,Year,Session,Track
Alpine,1.1609703776503006,2023,22,Abu Dhabi
Alfa Romeo,1.5211270227362061,2023,1,Bahrain
Alfa Romeo,2.325655530675374,2023,2,Jeddah
Alfa Romeo,1.6295038570633684,2023,3,Australia
Alfa Romeo,2.346096820671418,2023,4,Baku
Alfa Romeo,1.0843749011847568,2023,5,Miami
Alfa Romeo,2.237620326697373,2023,6,Monaco
Alfa Romeo,1.1845390848223947,2023,7,Spain
Alfa Romeo,1.4637502424126518,2023,8,Montreal
Alfa Romeo,1.9556482789769927,2023,9,Austria
Alfa Romeo,1.5311736005851002,2023,10,Silverstone
Alfa Romeo,1.9081606981989776,2023,11,Budapest
Alfa Romeo,1.6158938404099095,2023,12,Spa
Alfa Romeo,2.004103418133943,2023,13,Zandvoort
Alfa Romeo,1.22786644009757,2023,14,Monza
Alfa Romeo,0.7460293242961605,2023,15,Singapore
Alfa Romeo,1.9154955344323668,2023,16,Suzuka
Alfa Romeo,1.4169227171457976,2023,17,Qatar
Alfa Romeo,1.6235573822953966,2023,18,COTA
Alfa Romeo,1.999918891923829,2023,19,Mexico
Alfa Romeo,0.9277399430622202,2023,20,Brazil
Alfa Romeo,2.394164177373624,2023,21,Vegas
Alfa Romeo,1.4286959127065024,2023,22,Abu Dhabi
AlphaTauri,1.5762422910651483,2023,1,Bahrain
AlphaTauri,2.298575202758526,2023,2,Jeddah
AlphaTauri,1.958107012091284,2023,3,Australia
AlphaTauri,1.879116760826053,2023,4,Baku
AlphaTauri,1.2410751527235029,2023,5,Miami
AlphaTauri,2.6823898932721084,2023,6,Monaco
AlphaTauri,1.1381869285982642,2023,7,Spain
AlphaTauri,1.821944344204825,2023,8,Montreal
AlphaTauri,2.3591609042447703,2023,9,Austria
AlphaTauri,1.4416676675623392,2023,10,Silverstone
AlphaTauri,1.7303732231156068,2023,11,Budapest
AlphaTauri,1.269134636707927,2023,12,Spa
AlphaTauri,1.5717162735825938,2023,13,Zandvoort
AlphaTauri,1.0074310471387333,2023,14,Monza
AlphaTauri,1.181261899148871,2023,15,Singapore
