ID,Team,Delta,Year,Session,Track
109,Alpine,0.5532428876474775,2023,21,Vegas
110,Alpine,0.7585834981125292,2023,22,Abu Dhabi
111,Haas F1 Team,1.2273152896062782,2023,1,Bahrain
112,Haas F1 Team,1.3436809607432163,2023,2,Jeddah
113,Haas F1 Team,0.8862013240890372,2023,3,Australia
114,Haas F1 Team,2.54682993523148,2023,4,Baku
115,Haas F1 Team,0.9894717441887252,2023,5,Miami
116,Haas F1 Team,2.669375744412527,2023,6,Monaco
117,Haas F1 Team,1.324164268319681,2023,7,Spain
118,Haas F1 Team,,2023,8,Montreal
119,Haas F1 Team,1.085555434765728,2023,9,Austria
120,Haas F1 Team,2.5092250922509227,2023,10,Silverstone
121,Haas F1 Team,0.7531752144003968,2023,11,Budapest
122,Haas F1 Team,,2023,12,Spa
123,Haas F1 Team,,2023,13,Zandvoort
124,Haas F1 Team,1.845716990061524,2023,14,Monza
125,Haas F1 Team,0.6495647586388815,2023,15,Singapore
126,Haas F1 Team,2.011769074113663,2023,16,Suzuka
127,Haas F1 Team,2.111532860655542,2023,17,Qatar
128,Haas F1 Team,1.226799552355413,2023,18,COTA
129,Haas F1 Team,1.7598424176450769,2023,19,Mexico
130,Haas F1 Team,0.6483769154967794,2023,20,Brazil
131,Haas F1 Team,0.8746198477234001,2023,21,Vegas
132,Haas F1 Team,0.7945353226676255,2023,22,Abu Dhabi
133,McLaren,1.864939581754136,2023,1,Bahrain
134,McLaren,1.1080269642553673,2023,2,Jeddah
135,McLaren,1.8075900536933744,2023,3,Australia
136,McLaren,1.075816093330539,2023,4,Baku
137,McLaren,1.819982952058424,2023,5,Miami
138,McLaren,1.245708680725846,2023,6,Monaco
139,McLaren,0.6973655080805844,2023,7,Spain
140,McLaren,,2023,8,Montreal
141,McLaren,0.4146542218633038,2023,9,Austria
142,McLaren,0.2779059040590406,2023,10,Silverstone
143,McLaren,0.1109530211855003,2023,11,Budapest
144,McLaren,,2023,12,Spa
145,McLaren,,2023,13,Zandvoort
146,McLaren,0.6115027274765238,2023,14,Monza
