Team,Delta,Year,Session,Track
Alpine,0.7266237415792481,2023,21,Vegas
Alpine,1.1609703776503006,2023,22,Abu Dhabi
Alfa Romeo,1.5211270227362061,2023,1,Bahrain
Alfa Romeo,2.339422212725181,2023,2,Jeddah
Alfa Romeo,1.6295038570633684,2023,3,Australia
Alfa Romeo,2.359911079686517,2023,4,Baku
Alfa Romeo,1.0843749011847568,2023,5,Miami
Alfa Romeo,2.237620326697373,2023,6,Monaco
Alfa Romeo,1.1845390848223947,2023,7,Spain
Alfa Romeo,1.4637502424126518,2023,8,Montreal
Alfa Romeo,2.070105771004154,2023,9,Austria
Alfa Romeo,1.4554208310747767,2023,10,Silverstone
Alfa Romeo,1.8829557387299019,2023,11,Budapest
Alfa Romeo,1.6263297882270735,2023,12,Spa
Alfa Romeo,2.004103418133943,2023,13,Zandvoort
Alfa Romeo,1.19532905886579,2023,14,Monza
Alfa Romeo,0.7460293242961605,2023,15,Singapore
Alfa Romeo,1.9154955344323668,2023,16,Suzuka
Alfa Romeo,1.2842024286538054,2023,17,Qatar
Alfa Romeo,1.6350615630900383,2023,18,COTA
Alfa Romeo,2.022972734489259,2023,19,Mexico
Alfa Romeo,1.0117653927905705,2023,20,Brazil
Alfa Romeo,2.364270652675302,2023,21,Vegas
Alfa Romeo,1.4286959127065024,2023,22,Abu Dhabi
AlphaTauri,1.5762422910651483,2023,1,Bahrain
AlphaTauri,2.312338241477026,2023,2,Jeddah
AlphaTauri,1.958107012091284,2023,3,Australia
AlphaTauri,1.8928679887759523,2023,4,Baku
AlphaTauri,1.2410751527235029,2023,5,Miami
AlphaTauri,2.6823898932721084,2023,6,Monaco
AlphaTauri,1.1381869285982642,2023,7,Spain
AlphaTauri,1.821944344204825,2023,8,Montreal
AlphaTauri,2.3057328324325654,2023,9,Austria
AlphaTauri,1.4209902929901577,2023,10,Silverstone
AlphaTauri,1.7052122358473136,2023,11,Budapest
AlphaTauri,1.2795349723701595,2023,12,Spa
AlphaTauri,1.5717162735825938,2023,13,Zandvoort
AlphaTauri,0.987826839260574,2023,14,Monza
AlphaTauri,1.1470344665663286,2023,15,Singapore
AlphaTauri,1.6853949836538218,2023,16,Suzuka
AlphaTauri,2.1222315654906994,2023,17,Qatar
AlphaTauri,0.9172772730136413,2023,18,COTA
AlphaTauri,1.1053757138220592,2023,19,Mexico
AlphaTauri,0.9619248066604463,2023,20,Brazil
AlphaTauri,1.6962190155737935,2023,21,Vegas
AlphaTauri,0.6691318203844466,2023,22,Abu Dhabi
Haas F1 Team,1.7197935544695477,2023,1,Bahrain
Haas F1 Team,2.185454674742407,2023,2,Jeddah
Haas F1 Team,0.6986516098175309,2023,3,Australia
Haas F1 Team,1.9182216911166294,2023,4,Baku
Haas F1 Team,0.8986308092948798,2023,5,Miami
Haas F1 Team,2.9260927917095074,2023,6,Monaco
Haas F1 Team,1.419174351248687,2023,7,Spain
Haas F1 Team,1.8208386041085791,2023,8,Montreal
Haas F1 Team,1.3087569983295002,2023,9,Austria
Haas F1 Team,1.2414283017664438,2023,10,Silverstone
Haas F1 Team,2.075628624675886,2023,11,Budapest
Haas F1 Team,1.6419166150981739,2023,12,Spa
Haas F1 Team,1.9066361317266758,2023,13,Zandvoort
Haas F1 Team,1.2425293891443843,2023,14,Monza
Haas F1 Team,0.8441261200718746,2023,15,Singapore
Haas F1 Team,1.6455195288268634,2023,16,Suzuka
Haas F1 Team,1.70484404643359,2023,17,Qatar
Haas F1 Team,1.3054401825429602,2023,18,COTA
Haas F1 Team,2.0277364015947588,2023,19,Mexico
Haas F1 Team,1.9017193518148556,2023,20,Brazil
Haas F1 Team,1.808149029353737,2023,21,Vegas
Haas F1 Team,1.5397846397861674,2023,22,Abu Dhabi
Williams,1.7211242329045866,2023,1,Bahrain
Williams,2.59012259357121,2023,2,Jeddah
Williams,0.46915951098044234,2023,3,Australia
Williams,2.031195323910059,2023,4,Baku
Williams,1.224368874328608,2023,5,Miami
Williams,3.36190024117654,2023,6,Monaco
Williams,1.6740405589128755,2023,7,Spain
Williams,1.345693503870734,2023,8,Montreal
Williams,1.817139174388873,2023,9,Austria
Williams,1.1410116267954091,2023,10,Silverstone
Williams,1.9125706898461876,2023,11,Budapest
Williams,1.4043102519192485,2023,12,Spa
Williams,1.0575244969446196,2023,13,Zandvoort
Williams,0.9279947813503975,2023,14,Monza
Williams,0.7207461533805116,2023,15,Singapore
Williams,2.3957885589422374,2023,16,Suzuka
Williams,1.3774298042020068,2023,17,Qatar
Williams,1.032594106790359,2023,18,COTA
Williams,2.068588969685423,2023,19,Mexico
Williams,1.9789910919208076,2023,20,Brazil
Williams,1.0990815968398475,2023,21,Vegas
Williams,1.1862329813610162,2023,22,Abu Dhabi
Red Bull Racing,0.0,2024,1,Bahrain
Ferrari,0.46940012963390165,2024,1,Bahrain
McLaren,0.8457565810107235,2024,1,Bahrain
Mercedes,0.8572563614694557,2024,1,Bahrain
Haas F1 Team,1.2545215045894609,2024,1,Bahrain
Aston Martin,1.3433834444978743,2024,1,Bahrain
Kick Sauber,1.8326468312877666,2024,1,Bahrain
RB,1.8546009576180826,2024,1,Bahrain
Williams,1.9654170238568125,2024,1,Bahrain
Alpine,2.2539569699123985,2024,1,Bahrain
