ID,Lap,Position,Overtaker,Overtaken,Live,Turn,Year,Race
593,3,10,Leclerc,Bottas,Background,10,2023,Zandvoort
594,3,10,Alonso,Stroll,Yes,11,2023,Zandvoort
595,3,11,Gasly,Sargeant,,4,2023,Zandvoort
596,3,11,Alonso,Bottas,Yes,10,2023,Zandvoort
597,3,11,Leclerc,Hulkenberg,,10,2023,Zandvoort
598,3,11,Verstappen,Hamilton,,5,2023,Zandvoort
599,3,11,Tsunoda,Stroll,,12,2023,Zandvoort
600,3,12,Verstappen,Sargeant,,5,2023,Zandvoort
601,3,12,Leclerc,Hamilton,,Schievlak,2023,Zandvoort
602,3,12,Alonso,Hulkenberg,Background,10,2023,Zandvoort
603,3,12,Tsunoda,Bottas,,11,2023,Zandvoort
604,3,12,Sainz,Stroll,,13,2023,Zandvoort
605,3,13,Leclerc,Sargeant,,Schievlak,2023,Zandvoort
606,3,13,Magnussen,Stroll,,14,2023,Zandvoort
607,3,13,Alonso,Hamilton,,Schievlak,2023,Zandvoort
608,3,13,Sainz,Bottas,,13,2023,Zandvoort
609,3,13,Tsunoda,Hulkenberg,,11,2023,Zandvoort
610,3,14,Alonso,Sargeant,,Schievlak,2023,Zandvoort
611,3,14,Tsunoda,Hamilton,,8,2023,Zandvoort
612,3,14,Magnussen,Bottas,,13,2023,Zandvoort
613,3,14,Sainz,Hulkenberg,,12,2023,Zandvoort
614,3,15,Magnussen,Hulkenberg,,13,2023,Zandvoort
615,3,15,Tsunoda,Sargeant,,8,2023,Zandvoort
616,3,15,Sainz,Hamilton,,10,2023,Zandvoort
617,3,16,Sainz,Sargeant,,9,2023,Zandvoort
618,3,16,Magnussen,Hamilton,,10,2023,Zandvoort
619,3,17,Magnussen,Sargeant,,10,2023,Zandvoort
620,3,17,Ocon,Hamilton,,14,2023,Zandvoort
621,3,18,Lawson,Hamilton,,14,2023,Zandvoort
622,3,18,Ocon,Sargeant,,13,2023,Zandvoort
623,3,19,Lawson,Sargeant,,14,2023,Zandvoort
624,4,2,Zhou,Russell,,2,2023,Zandvoort
625,4,3,Gasly,Russell,,3,2023,Zandvoort
626,4,4,Verstappen,Russell,,3,2023,Zandvoort
627,4,5,Leclerc,Russell,,5,2023,Zandvoort
628,4,6,Alonso,Russell,,5,2023,Zandvoort
629,4,7,Sainz,Russell,,9,2023,Zandvoort
630,4,8,Tsunoda,Russell,,10,2023,Zandvoort
631,4,8,Sainz,Tsunoda,,5,2023,Zandvoort
632,4,8,Tsunoda,Albon,,3,2023,Zandvoort
633,4,9,Sainz,Albon,,3,2023,Zandvoort
634,4,9,Magnussen,Russell,,11,2023,Zandvoort
635,4,9,Tsunoda,Piastri,,Tarzan,2023,Zandvoort
636,4,10,Sainz,Piastri,,2,2023,Zandvoort
637,4,10,Magnussen,Albon,,Schievlak,2023,Zandvoort
638,4,11,Ocon,Albon,,11,2023,Zandvoort
639,4,11,Magnussen,Piastri,,4,2023,Zandvoort
640,4,12,Ocon,Piastri,,10,2023,Zandvoort
641,4,12,Lawson,Albon,,12,2023,Zandvoort
642,4,13,Lawson,Piastri,,11,2023,Zandvoort
643,4,13,Ocon,Stroll,,Schievlak,2023,Zandvoort
644,4,14,Ocon,Bottas,,6,2023,Zandvoort
645,4,14,Lawson,Stroll,,9,2023,Zandvoort
646,4,15,Norris,Stroll,,13,2023,Zandvoort
647,4,15,Ocon,Hulkenberg,,5,2023,Zandvoort
648,4,15,Lawson,Bottas,,Schievlak,2023,Zandvoort
649,4,16,Lawson,Hulkenberg,,6,2023,Zandvoort
650,4,16,Norris,Bottas,,11,2023,Zandvoort
651,4,17,Norris,Hulkenberg,,11,2023,Zandvoort
652,4,18,Norris,Sargeant,,Schievlak,2023,Zandvoort
653,4,19,Hamilton,Sargeant,,13,2023,Zandvoort
654,5,12,Norris,Albon,,3,2023,Zandvoort
655,5,13,Hamilton,Albon,,14,2023,Zandvoort
656,5,13,Norris,Piastri,Replay,Tarzan,2023,Zandvoort
657,5,14,Hamilton,Piastri,,14,2023,Zandvoort
658,5,15,Hamilton,Bottas,,10,2023,Zandvoort
659,5,16,Hamilton,Hulkenberg,,9,2023,Zandvoort
660,5,16,Russell,Bottas,,12,2023,Zandvoort
661,5,17,Russell,Hulkenberg,,10,2023,Zandvoort
662,5,19,Stroll,Sargeant,,13,2023,Zandvoort
663,6,3,Verstappen,Gasly,Yes,3,2023,Zandvoort
664,6,5,Alonso,Leclerc,Yes,10,2023,Zandvoort
665,6,14,Russell,Albon,,9,2023,Zandvoort
666,6,15,Russell,Piastri,,8,2023,Zandvoort
667,6,18,Stroll,Hulkenberg,,14,2023,Zandvoort
668,7,2,Verstappen,Zhou,Yes,3,2023,Zandvoort
669,7,18,Stroll,Hulkenberg,,Tarzan,2023,Zandvoort
670,7,18,Hulkenberg,Stroll,,13,2023,Zandvoort
671,9,11,Norris,Lawson,,,2023,Zandvoort
672,10,13,Piastri,Albon,,11,2023,Zandvoort
673,10,13,Albon,Russell,,9,2023,Zandvoort
674,10,14,Piastri,Russell,,9,2023,Zandvoort
675,11,5,Alonso,Zhou,Yes,3,2023,Zandvoort
676,12,5,Sainz,Zhou,,Tarzan,2023,Zandvoort
677,12,8,Piastri,Tsunoda,,Finish Line,2023,Zandvoort
678,12,9,Piastri,Ocon,,Tarzan,2023,Zandvoort
679,15,7,Piastri,Magnussen,,Tarzan,2023,Zandvoort
680,15,7,Magnussen,Piastri,,Tarzan,2023,Zandvoort
681,15,9,Ocon,Tsunoda,Replay,Tarzan,2023,Zandvoort
682,15,10,Albon,Tsunoda,,Tarzan,2023,Zandvoort
683,16,8,Albon,Ocon,,Tarzan,2023,Zandvoort
684,22,14,Bottas,Piastri,,10,2023,Zandvoort
685,23,7,Albon,Magnussen,Replay,Tarzan,2023,Zandvoort
686,24,8,Ocon,Magnussen,Replay,Tarzan,2023,Zandvoort
687,25,6,Albon,Zhou,,Tarzan,2023,Zandvoort
688,25,14,Piastri,Bottas,Yes,Tarzan,2023,Zandvoort
689,25,18,Stroll,Lawson,,Tarzan,2023,Zandvoort
690,26,12,Hamilton,Leclerc,Yes,Tarzan,2023,Zandvoort
691,26,13,Piastri,Leclerc,Yes,3,2023,Zandvoort
692,27,7,Ocon,Zhou,,Tarzan,2023,Zandvoort
693,27,9,Tsunoda,Magnussen,,Tarzan,2023,Zandvoort
694,27,15,Hulkenberg,Bottas,,Tarzan,2023,Zandvoort
695,28,10,Norris,Magnussen,Yes,Tarzan,2023,Zandvoort
696,29,11,Hamilton,Magnussen,Yes,Tarzan,2023,Zandvoort
697,30,12,Piastri,Magnussen,Yes,Tarzan,2023,Zandvoort
698,30,14,Hulkenberg,Leclerc,,Tarzan,2023,Zandvoort
699,31,8,Tsunoda,Zhou,Yes,Tarzan,2023,Zandvoort
700,32,9,Norris,Zhou,Yes,Tarzan,2023,Zandvoort
701,33,10,Hamilton,Zhou,Yes,Tarzan,2023,Zandvoort
702,34,11,Piastri,Zhou,Replay,Tarzan,2023,Zandvoort
703,34,16,Russell,Bottas,,2,2023,Zandvoort
704,35,15,Russell,Leclerc,Replay,10,2023,Zandvoort
705,38,14,Bottas,Leclerc,Replay,Tarzan,2023,Zandvoort
706,40,15,Lawson,Leclerc,Yes,11,2023,Zandvoort
707,41,12,Russell,Hulkenberg,Replay,11,2023,Zandvoort
708,41,15,Leclerc,Lawson,Yes,Tarzan,2023,Zandvoort
709,41,15,Lawson,Leclerc,,10,2023,Zandvoort
710,42,17,Stroll,Magnussen,,Tarzan,2023,Zandvoort
711,45,12,Ocon,Bottas,Replay,Tarzan,2023,Zandvoort
712,45,13,Norris,Bottas,,11,2023,Zandvoort
713,45,15,Zhou,Lawson,,Tarzan,2023,Zandvoort
714,46,6,Sainz,Piastri,,Tarzan,2023,Zandvoort
715,46,9,Albon,Hulkenberg,,Tarzan,2023,Zandvoort
716,47,9,Ocon,Hulkenberg,,11,2023,Zandvoort
717,48,4,Sainz,Tsunoda,Yes,Tarzan,2023,Zandvoort
718,48,10,Norris,Hulkenberg,Replay,Tarzan,2023,Zandvoort
719,48,13,Piastri,Zhou,Replay,Tarzan,2023,Zandvoort
720,49,4,Alonso,Tsunoda,,11,2023,Zandvoort
721,50,5,Gasly,Tsunoda,Yes,10,2023,Zandvoort
722,52,3,Alonso,Sainz,Yes,Tarzan,2023,Zandvoort
723,52,6,Russell,Tsunoda,Replay,Tarzan,2023,Zandvoort
724,52,7,Albon,Tsunoda,Yes,Timing Line,2023,Zandvoort
725,53,8,Ocon,Tsunoda,Yes,Tarzan,2023,Zandvoort
726,55,9,Norris,Tsunoda,Yes,Tarzan,2023,Zandvoort
727,55,10,Hamilton,Tsunoda,Yes,Tarzan,2023,Zandvoort
728,55,11,Piastri,Tsunoda,,Timing Line,2023,Zandvoort
729,56,6,Albon,Russell,Yes,Tarzan,2023,Zandvoort
730,56,9,Hamilton,Norris,Replay,Tarzan,2023,Zandvoort
731,56,15,Hulkenberg,Magnussen,,Tarzan,2023,Zandvoort
732,58,8,Hamilton,Ocon,Replay,Tarzan,2023,Zandvoort
733,60,4,Gasly,Sainz,Yes,Tarzan,2023,Zandvoort
734,61,3,Perez,Albon,,12,2023,Zandvoort
735,62,8,Russell,Albon,Yes,5,2023,Zandvoort
736,67,7,Russell,Norris,Yes,5,2023,Zandvoort
737,67,7,Norris,Russell,Replay,12,2023,Zandvoort
738,67,11,Stroll,Tsunoda,,11,2023,Zandvoort
739,67,12,Hulkenberg,Tsunoda,,13,2023,Zandvoort
740,67,14,Lawson,Bottas,,5,2023,Zandvoort
741,68,15,Magnussen,Bottas,,5,2023,Zandvoort
742,2,6,Albon,Piastri,Yes,Roggia,2023,Monza
743,4,18,Stroll,Magnussen,,1,2023,Monza
744,8,10,Alonso,Hulkenberg,Replay,1,2023,Monza
745,12,11,Lawson,Hulkenberg,,1,2023,Monza
746,15,1,Verstappen,Sainz,Yes,Roggia,2023,Monza
747,16,4,Perez,Russell,Yes,1,2023,Monza
748,20,8,Sainz,Bottas,,Ascari,2023,Monza
749,21,9,Russell,Bottas,,Ascari,2023,Monza
750,23,9,Albon,Ocon,,1,2023,Monza
751,24,9,Norris,Ocon,,Ascari,2023,Monza
752,24,10,Piastri,Ocon,,Parabolica,2023,Monza
753,25,1,Verstappen,Hamilton,Yes,1,2023,Monza
754,27,2,Sainz,Hamilton,Yes,Ascari,2023,Monza
755,27,3,Leclerc,Hamilton,Yes,Parabolica,2023,Monza
756,29,9,Hamilton,Alonso,Yes,1,2023,Monza
757,32,3,Perez,Leclerc,Yes,1,2023,Monza
758,33,13,Bottas,Hulkenberg,,Ascari,2023,Monza
759,33,17,Ocon,Magnussen,Replay,1,2023,Monza
760,38,12,Stroll,Hulkenberg,,1,2023,Monza
761,43,10,Bottas,Sargeant,,1,2023,Monza
762,44,12,Lawson,Stroll,,Parabolica,2023,Monza
763,45,7,Hamilton,Norris,Yes,1,2023,Monza
764,45,13,Piastri,Stroll,,Roggia,2023,Monza
765,46,2,Perez,Sainz,Yes,1,2023,Monza
766,47,3,Leclerc,Sainz,Yes,1,2023,Monza
767,47,3,Sainz,Leclerc,Yes,Roggia,2023,Monza
768,47,6,Hamilton,Albon,Replay,1,2023,Monza
769,50,11,Piastri,Sargeant,,Ascari,2023,Monza
770,50,14,Zhou,Stroll,,1,2023,Monza
771,50,15,Gasly,Stroll,,Ascari,2023,Monza
772,51,12,Lawson,Sargeant,,1,2023,Monza
773,2,9,Verstappen,Hulkenberg,Replay,13,2023,Singapore
774,6,8,Verstappen,Magnussen,Yes,14,2023,Singapore
775,23,2,Russell,Verstappen,Yes,16,2023,Singapore
776,23,4,Norris,Perez,Yes,16,2023,Singapore
777,23,6,Hamilton,Leclerc,Replay,7,2023,Singapore
778,23,10,Magnussen,Bottas,,14,2023,Singapore
779,23,11,Gasly,Bottas,,14,2023,Singapore
780,23,12,Piastri,Bottas,,18,2023,Singapore
781,24,3,Norris,Verstappen,Yes,14,2023,Singapore
782,24,5,Hamilton,Perez,Yes,7,2023,Singapore
783,24,13,Lawson,Bottas,,1,2023,Singapore
784,24,14,Hulkenberg,Bottas,,3,2023,Singapore
785,24,15,Albon,Bottas,,7,2023,Singapore
786,27,4,Hamilton,Verstappen,Yes,7,2023,Singapore
787,28,5,Leclerc,Verstappen,Yes,7,2023,Singapore
788,35,10,Magnussen,Gasly,,3,2023,Singapore
789,36,14,Albon,Magnussen,Yes,9,2023,Singapore
790,37,7,Alonso,Perez,Yes,7,2023,Singapore
791,37,7,Perez,Alonso,Yes,7,2023,Singapore
792,37,8,Ocon,Alonso,Yes,10,2023,Singapore
793,39,7,Ocon,Perez,Yes,9,2023,Singapore
794,39,8,Alonso,Perez,Yes,14,2023,Singapore
795,39,9,Gasly,Perez,Yes,16,2023,Singapore
796,43,13,Verstappen,Magnussen,,7,2023,Singapore
797,43,15,Perez,Sargeant,,7,2023,Singapore
798,47,10,Verstappen,Zhou,Yes,13,2023,Singapore
799,48,9,Verstappen,Hulkenberg,Yes,14,2023,Singapore
800,50,8,Verstappen,Lawson,Yes,16,2023,Singapore
801,52,11,Albon,Zhou,,7,2023,Singapore
802,52,12,Perez,Zhou,,13,2023,Singapore
803,53,3,Russell,Leclerc,Yes,16,2023,Singapore
804,53,10,Albon,Hulkenberg,,7,2023,Singapore
805,53,11,Perez,Hulkenberg,,7,2023,Singapore
806,54,4,Hamilton,Leclerc,Yes,7,2023,Singapore
807,54,7,Verstappen,Piastri,Yes,14,2023,Singapore
808,57,6,Verstappen,Gasly,Yes,14,2023,Singapore
809,59,12,Magnussen,Zhou,,5,2023,Singapore
810,59,13,Albon,Zhou,,7,2023,Singapore
811,60,9,Perez,Lawson,,8,2023,Singapore
812,60,11,Magnussen,Hulkenberg,,1,2023,Singapore
813,60,12,Albon,Hulkenberg,,3,2023,Singapore
814,61,13,Zhou,Hulkenberg,,13,2023,Singapore
815,5,7,Russell,Hamilton,Yes,Chicane,2023,Japan
816,5,17,Perez,Albon,,Chicane,2023,Japan
817,6,7,Hamilton,Russell,Yes,1,2023,Japan
818,7,16,Perez,Zhou,Yes,Chicane,2023,Japan
819,11,11,Ocon,Magnussen,Yes,1,2023,Japan
820,13,11,Alonso,Albon,,10,2023,Japan
821,15,7,Piastri,Gasly,Yes,Chicane,2023,Japan
822,18,6,Norris,Ocon,,Chicane,2023,Japan
823,18,13,Stroll,Hulkenberg,Yes,1,2023,Japan
824,19,1,Verstappen,Russell,Yes,10,2023,Japan
825,19,5,Leclerc,Ocon,Yes,Spoon,2023,Japan
826,19,6,Leclerc,Alonso,Yes,1,2023,Japan
827,20,7,Sainz,Alonso,Yes,Spoon,2023,Japan
828,20,14,Gasly,Zhou,,1,2023,Japan
829,21,6,Sainz,Ocon,Yes,1,2023,Japan
830,21,8,Hamilton,Alonso,Yes,130r,2023,Japan
831,22,7,Hamilton,Ocon,Yes,1,2023,Japan
832,23,11,Gasly,Lawson,Replay,1,2023,Japan
833,24,11,Gasly,Tsunoda,,1,2023,Japan
834,25,7,Russell,Ocon,,130r,2023,Japan
835,25,8,Russell,Alonso,Yes,Spoon,2023,Japan
836,27,11,Alonso,Zhou,Replay,10,2023,Japan
837,29,9,Alonso,Tsunoda,Yes,Spoon,2023,Japan
838,30,13,Lawson,Magnussen,Yes,1,2023,Japan
839,36,10,Gasly,Hulkenberg,Yes,1,2023,Japan
840,38,3,Norris,Russell,Yes,1,2023,Japan
841,42,3,Piastri,Russell,Yes,1,2023,Japan
842,45,4,Leclerc,Russell,Yes,1,2023,Japan
843,50,6,Sainz,Russell,Yes,1,2023,Japan
844,3,1,Russell,Piastri,Yes,6,2023,Qatar-Sprint
845,3,7,Ocon,Alonso,Replay,7,2023,Qatar-Sprint
846,3,10,Gasly,Perez,,1,2023,Qatar-Sprint
847,3,13,Stroll,Bottas,,3,2023,Qatar-Sprint
848,3,16,Albon,Magnussen,,3,2023,Qatar-Sprint
849,3,16,Magnussen,Albon,,4,2023,Qatar-Sprint
850,7,7,Alonso,Ocon,Replay,1,2023,Qatar-Sprint
851,7,17,Tsunoda,Albon,,1,2023,Qatar-Sprint
852,9,4,Verstappen,Leclerc,Yes,1,2023,Qatar-Sprint
853,9,10,Perez,Gasly,Replay,2,2023,Qatar-Sprint
854,9,17,Albon,Tsunoda,,1,2023,Qatar-Sprint
855,10,3,Verstappen,Sainz,Yes,1,2023,Qatar-Sprint
856,10,11,Hamilton,Gasly,Replay,1,2023,Qatar-Sprint
857,10,16,Albon,Magnussen,,1,2023,Qatar-Sprint
858,11,1,Piastri,Russell,Yes,1,2023,Qatar-Sprint
859,11,5,Norris,Leclerc,Yes,1,2023,Qatar-Sprint
860,11,9,Perez,Hulkenberg,Replay,2,2023,Qatar-Sprint
861,11,13,Bottas,Stroll,,1,2023,Qatar-Sprint
862,15,5,Leclerc,Norris,Yes,1,2023,Qatar-Sprint
863,15,8,Gasly,Hamilton,,2,2023,Qatar-Sprint
864,16,2,Verstappen,Russell,Yes,1,2023,Qatar-Sprint
865,16,10,Albon,Bottas,,1,2023,Qatar-Sprint
866,17,5,Norris,Leclerc,Yes,1,2023,Qatar-Sprint
867,17,4,Norris,Sainz,Yes,4,2023,Qatar-Sprint
868,17,8,Hamilton,Gasly,Replay,6,2023,Qatar-Sprint
869,18,7,Hamilton,Alonso,Yes,1,2023,Qatar-Sprint
870,18,9,Albon,Gasly,Background,1,2023,Qatar-Sprint
871,19,3,Norris,Russell,Yes,1,2023,Qatar-Sprint
872,19,5,Hamilton,Sainz,,7,2023,Qatar-Sprint
873,19,6,Hamilton,Leclerc,,1,2023,Qatar-Sprint
874,19,8,Albon,Alonso,,1,2023,Qatar-Sprint
875,6,8,Hulkenberg,Tsunoda,Yes,2,2023,Qatar
876,6,13,Russell,Perez,Yes,4,2023,Qatar
877,8,12,Russell,Zhou,Replay,6,2023,Qatar
878,8,16,Stroll,Magnussen,,1,2023,Qatar
879,9,10,Russell,Sargeant,Yes,1,2023,Qatar
880,12,6,Russell,Albon,,6,2023,Qatar
881,13,3,Russell,Hulkenberg,Replay,1,2023,Qatar
882,13,14,Alonso,Leclerc,Replay,4,2023,Qatar
883,14,9,Piastri,Lawson,Yes,1,2023,Qatar
884,15,3,Perez,Zhou,Replay,1,2023,Qatar
885,15,7,Piastri,Magnussen,Replay,1,2023,Qatar
886,15,9,Alonso,Lawson,Yes,1,2023,Qatar
887,16,8,Alonso,Magnussen,Yes,1,2023,Qatar
888,16,10,Leclerc,Lawson,Yes,1,2023,Qatar
889,16,11,Norris,Lawson,Yes,1,2023,Qatar
890,17,6,Piastri,Stroll,Replay,1,2023,Qatar
891,17,9,Leclerc,Magnussen,Yes,1,2023,Qatar
892,17,10,Norris,Magnussen,Yes,1,2023,Qatar
893,17,12,Ocon,Lawson,,1,2023,Qatar
894,18,5,Piastri,Bottas,Yes,1,2023,Qatar
895,18,10,Ocon,Magnussen,,1,2023,Qatar
896,18,12,Gasly,Lawson,,1,2023,Qatar
897,19,6,Norris,Leclerc,Yes,1,2023,Qatar
898,19,9,Gasly,Magnussen,,1,2023,Qatar
899,19,10,Russell,Magnussen,Replay,6,2023,Qatar
900,19,11,Russell,Lawson,,1,2023,Qatar
901,20,3,Alonso,Bottas,Yes,1,2023,Qatar
902,20,14,Perez,Albon,Yes,1,2023,Qatar
903,21,5,Norris,Stroll,Yes,1,2023,Qatar
904,21,11,Perez,Tsunoda,,1,2023,Qatar
905,23,7,Russell,Gasly,Yes,1,2023,Qatar
906,26,9,Zhou,Sargeant,Yes,1,2023,Qatar
907,26,13,Stroll,Leclerc,Yes,1,2023,Qatar
908,29,4,Piastri,Albon,Yes,1,2023,Qatar
909,30,6,Norris,Zhou,Yes,1,2023,Qatar
910,31,10,Leclerc,Stroll,Yes,2,2023,Qatar
911,32,5,Alonso,Zhou,,1,2023,Qatar
912,32,14,Tsunoda,Albon,Yes,4,2023,Qatar
913,33,6,Leclerc,Alonso,Yes,4,2023,Qatar
914,33,7,Leclerc,Bottas,Yes,1,2023,Qatar
915,35,4,Russell,Zhou,Yes,1,2023,Qatar
916,35,14,Albon,Tsunoda,Yes,1,2023,Qatar
917,36,8,Ocon,Stroll,Yes,2,2023,Qatar
918,37,9,Gasly,Stroll,Replay,10,2023,Qatar
919,38,7,Ocon,Bottas,Replay,1,2023,Qatar
920,39,14,Zhou,Tsunoda,Yes,1,2023,Qatar
921,45,16,Hulkenberg,Lawson,,1,2023,Qatar
922,53,10,Perez,Gasly,Yes,1,2023,Qatar
923,3,6,Perez,Piastri,Yes,13,2023,COTA-Sprint
924,5,8,Gasly,Piastri,Replay,1,2023,COTA-Sprint
925,6,9,Albon,Piastri,Replay,12,2023,COTA-Sprint
926,6,14,Alonso,Magnussen,,12,2023,COTA-Sprint
927,7,4,Norris,Sainz,Replay,12,2023,COTA-Sprint
928,7,4,Sainz,Norris,Yes,13,2023,COTA-Sprint
929,7,15,Hulkenberg,Magnussen,,12,2023,COTA-Sprint
930,9,12,Stroll,Ricciardo,,12,2023,COTA-Sprint
931,9,16,Tsunoda,Magnussen,,1,2023,COTA-Sprint
932,9,16,Magnussen,Tsunoda,,1,2023,COTA-Sprint
933,9,16,Tsunoda,Magnussen,,12,2023,COTA-Sprint
934,10,4,Norris,Sainz,Yes,12,2023,COTA-Sprint
935,11,5,Perez,Sainz,Yes,12,2023,COTA-Sprint
936,12,15,Tsunoda,Hulkenberg,,12,2023,COTA-Sprint
937,14,6,Russell,Sainz,Yes,1,2023,COTA-Sprint
938,14,6,Sainz,Russell,Yes,2,2023,COTA-Sprint
939,14,12,Ricciardo,Stroll,Replay,1,2023,COTA-Sprint
940,14,18,Bottas,Magnussen,,12,2023,COTA-Sprint
941,2,11,Tsunoda,Zhou,,1,2023,COTA
942,2,14,Bottas,Albon,,11,2023,COTA
943,2,14,Albon,Bottas,,12,2023,COTA
944,3,7,Russell,Ocon,Yes,11,2023,COTA
945,3,8,Perez,Ocon,Yes,12,2023,COTA
946,4,3,Hamilton,Sainz,Yes,12,2023,COTA
947,5,4,Verstappen,Sainz,Yes,12,2023,COTA
948,6,2,Hamilton,Leclerc,Yes,12,2023,COTA
949,6,18,Stroll,Hulkenberg,,12,2023,COTA
950,7,16,Alonso,Sargeant,Replay,12,2023,COTA
951,11,3,Verstappen,Leclerc,Yes,15,2023,COTA
952,13,17,Sargeant,Magnussen,Yes,12,2023,COTA
953,18,10,Perez,Stroll,Yes,12,2023,COTA
954,19,12,Gasly,Hulkenberg,Replay,12,2023,COTA
955,20,6,Sainz,Ricciardo,Replay,1,2023,COTA
956,21,2,Norris,Russell,Yes,12,2023,COTA
957,21,7,Perez,Ricciardo,,1,2023,COTA
958,21,14,Alonso,Sargeant,,12,2023,COTA
959,21,16,Stroll,Magnussen,,12,2023,COTA
960,22,13,Alonso,Bottas,,12,2023,COTA
961,23,10,Alonso,Zhou,Replay,12,2023,COTA
962,23,11,Alonso,Albon,,1,2023,COTA
963,24,17,Hulkenberg,Magnussen,,1,2023,COTA
964,25,11,Albon,Zhou,Yes,12,2023,COTA
965,25,15,Stroll,Ricciardo,,12,2023,COTA
966,26,14,Stroll,Sargeant,,12,2023,COTA
967,27,13,Stroll,Zhou,,11,2023,COTA
968,27,14,Sargeant,Zhou,,12,2023,COTA
969,28,1,Verstappen,Norris,Yes,1,2023,COTA
970,28,12,Stroll,Bottas,,12,2023,COTA
971,30,13,Hulkenberg,Ricciardo,Yes,12,2023,COTA
972,31,12,Hulkenberg,Sargeant,Replay,12,2023,COTA
973,34,16,Sargeant,Zhou,,12,2023,COTA
974,37,14,Hulkenberg,Bottas,,12,2023,COTA
975,38,5,Sainz,Russell,Yes,12,2023,COTA
976,38,15,Sargeant,Bottas,,12,2023,COTA
977,39,1,Verstappen,Leclerc,Yes,1,2023,COTA
978,39,2,Norris,Leclerc,Yes,12,2023,COTA
979,42,12,Albon,Ricciardo,Yes,2,2023,COTA
980,43,3,Hamilton,Leclerc,Yes,12,2023,COTA
981,44,9,Alonso,Tsunoda,Replay,12,2023,COTA
982,45,13,Hulkenberg,Ricciardo,Yes,1,2023,COTA
983,45,14,Sargeant,Ricciardo,Yes,12,2023,COTA
984,47,10,Stroll,Tsunoda,Yes,12,2023,COTA
985,49,2,Hamilton,Norris,Yes,1,2023,COTA
986,52,12,Sargeant,Hulkenberg,,12,2023,COTA
987,2,14,Tsunoda,Alonso,,4,2023,Mexico
988,3,15,Norris,Alonso,Replay,1,2023,Mexico
989,3,18,Stroll,Ocon,,1,2023,Mexico
990,7,16,Sargeant,Alonso,,1,2023,Mexico
991,11,4,Hamilton,Ricciardo,Yes,1,2023,Mexico
992,15,10,Albon,Zhou,Yes,1,2023,Mexico
993,22,6,Verstappen,Russell,Yes,1,2023,Mexico
994,22,16,Norris,Ocon,,4,2023,Mexico
995,23,5,Verstappen,Piastri,Yes,1,2023,Mexico
996,23,14,Norris,Alonso,Yes,1,2023,Mexico
997,23,16,Tsunoda,Ocon,Background,1,2023,Mexico
998,24,14,Tsunoda,Alonso,Replay,1,2023,Mexico
999,25,3,Verstappen,Ricciardo,Pip,1,2023,Mexico
1000,26,11,Norris,Stroll,Replay,1,2023,Mexico
1001,27,8,Piastri,Bottas,Yes,4,2023,Mexico
1002,28,7,Piastri,Albon,Yes,1,2023,Mexico
1003,28,9,Russell,Bottas,Background,1,2023,Mexico
1004,28,18,Magnussen,Sargeant,,1,2023,Mexico
1005,29,2,Verstappen,Sainz,Yes,1,2023,Mexico
1006,29,7,Russell,Albon,Yes,1,2023,Mexico
1007,29,9,Norris,Bottas,Yes,4,2023,Mexico
1008,30,12,Tsunoda,Stroll,Yes,1,2023,Mexico
1009,30,13,Hulkenberg,Ocon,,1,2023,Mexico
1010,30,15,Gasly,Zhou,Replay,1,2023,Mexico
1011,31,8,Norris,Albon,Yes,1,2023,Mexico
1012,32,13,Zhou,Ocon,,1,2023,Mexico
1013,32,15,Sargeant,Magnussen,,1,2023,Mexico
1014,37,15,Stroll,Zhou,,4,2023,Mexico
1015,39,7,Tsunoda,Piastri,,4,2023,Mexico
1016,39,7,Piastri,Tsunoda,,4,2023,Mexico
1017,40,2,Hamilton,Leclerc,Yes,1,2023,Mexico
1018,41,13,Norris,Bottas,Replay,1,2023,Mexico
1019,41,17,Sargeant,Alonso,,1,2023,Mexico
1020,43,16,Sargeant,Zhou,,4,2023,Mexico
1021,45,12,Norris,Gasly,Yes,1,2023,Mexico
1022,46,11,Norris,Ocon,Yes,1,2023,Mexico
1023,46,17,Alonso,Zhou,,1,2023,Mexico
1024,47,10,Norris,Hulkenberg,Yes,1,2023,Mexico
1025,49,8,Norris,Albon,Yes,4,2023,Mexico
1026,60,6,Norris,Ricciardo,Yes,4,2023,Mexico
1027,66,10,Ocon,Hulkenberg,Replay,1,2023,Mexico
1028,66,11,Gasly,Hulkenberg,,12,2023,Mexico
1029,66,13,Stroll,Bottas,Replay,14,2023,Mexico
1030,67,5,Norris,Russell,Yes,7,2023,Mexico
1031,67,13,Sargeant,Bottas,,1,2023,Mexico
1032,67,14,Tsunoda,Bottas,,1,2023,Mexico
1033,70,12,Sargeant,Hulkenberg,,7,2023,Mexico
1034,71,12,Tsunoda,Hulkenberg,,7,2023,Mexico
1035,4,4,Perez,Hamilton,Yes,1,2023,Brazil-Sprint
1036,4,13,Alonso,Hulkenberg,,4,2023,Brazil-Sprint
1037,5,2,Norris,Russell,Yes,1,2023,Brazil-Sprint
1038,6,14,Ocon,Hulkenberg,Yes,1,2023,Brazil-Sprint
1039,6,12,Alonso,Magnussen,Yes,4,2023,Brazil-Sprint
1040,6,15,Stroll,Hulkenberg,,4,2023,Brazil-Sprint
1041,7,17,Albon,Bottas,,4,2023,Brazil-Sprint
1042,8,3,Perez,Russell,Yes,1,2023,Brazil-Sprint
