ID,Team,Delta,Year,Session,Track
118,Alfa Romeo,1.6128602175713582,2023,8,Montreal
119,Alfa Romeo,2.3802812429860225,2023,9,Austria
120,Alfa Romeo,1.5488232989378787,2023,10,Silverstone
121,Alfa Romeo,1.8493216792887477,2023,11,Budapest
122,Alfa Romeo,1.5278447198562988,2023,12,Spa
123,Alfa Romeo,1.892889062795064,2023,13,Zandvoort
124,Alfa Romeo,1.0183109609277743,2023,14,Monza
125,Alfa Romeo,1.507741364434843,2023,15,Singapore
126,Alfa Romeo,2.1242291516583323,2023,16,Suzuka
127,Alfa Romeo,1.5048812025192122,2023,17,Qatar
128,Alfa Romeo,1.577409788983145,2023,18,COTA
129,Alfa Romeo,2.187874307738754,2023,19,Mexico
130,Alfa Romeo,1.5988729343168555,2023,20,Brazil
131,Alfa Romeo,2.0504575105450678,2023,21,Vegas
132,Alfa Romeo,1.4830336487518192,2023,22,Abu Dhabi
133,Williams,1.2541139733322468,2023,1,Bahrain
134,Williams,2.6972988727464,2023,2,Jeddah
135,Williams,2.2599702262507235,2023,3,Australia
136,Williams,1.8378556987857928,2023,4,Baku
137,Williams,1.3585357470770485,2023,5,Miami
138,Williams,2.199345853903173,2023,6,Monaco
139,Williams,1.825448009521336,2023,7,Spain
140,Williams,1.818985139175863,2023,8,Montreal
141,Williams,2.034518893923356,2023,9,Austria
142,Williams,1.087603450902987,2023,10,Silverstone
143,Williams,1.8992946776362745,2023,11,Budapest
144,Williams,1.375886712495394,2023,12,Spa
145,Williams,1.05288936547146,2023,13,Zandvoort
146,Williams,0.987280790929557,2023,14,Monza
147,Williams,1.0716017766001795,2023,15,Singapore
148,Williams,2.6196268295437872,2023,16,Suzuka
149,Williams,1.2966857195603263,2023,17,Qatar
150,Williams,1.3072883142286356,2023,18,COTA
151,Williams,1.768328843845695,2023,19,Mexico
152,Williams,1.84996399653784,2023,20,Brazil
153,Williams,1.4574611398910684,2023,21,Vegas
154,Williams,1.19187299500023,2023,22,Abu Dhabi
155,Haas F1 Team,1.4173024456674954,2023,1,Bahrain
156,Haas F1 Team,1.8894199635489488,2023,2,Jeddah
157,Haas F1 Team,0.8690328949397369,2023,3,Australia
158,Haas F1 Team,1.9557309282700857,2023,4,Baku
159,Haas F1 Team,1.204895390861022,2023,5,Miami
160,Haas F1 Team,2.026033943691412,2023,6,Monaco
161,Haas F1 Team,1.2167605588828676,2023,7,Spain
162,Haas F1 Team,1.8955224519106109,2023,8,Montreal
163,Haas F1 Team,3.429913204511936,2023,9,Austria
164,Haas F1 Team,1.1993994327128406,2023,10,Silverstone
165,Haas F1 Team,2.3053632783797644,2023,11,Budapest
166,Haas F1 Team,1.844612274602776,2023,12,Spa
167,Haas F1 Team,1.874660837490985,2023,13,Zandvoort
168,Haas F1 Team,1.2784555216405085,2023,14,Monza
169,Haas F1 Team,1.3851429309740664,2023,15,Singapore
170,Haas F1 Team,1.6527739341651102,2023,16,Suzuka
171,Haas F1 Team,1.762467275627764,2023,17,Qatar
172,Haas F1 Team,1.3685934389852903,2023,18,COTA
173,Haas F1 Team,1.5896449772878498,2023,19,Mexico
174,Haas F1 Team,1.9223373558071932,2023,20,Brazil
175,Haas F1 Team,1.6303508927474508,2023,21,Vegas
176,Haas F1 Team,1.4845632325945526,2023,22,Abu Dhabi
177,McLaren,0.8957225955933774,2023,1,Bahrain
178,McLaren,2.261648486383795,2023,2,Jeddah
179,McLaren,0.7703637077378727,2023,3,Australia
180,McLaren,1.6304396780853745,2023,4,Baku
181,McLaren,1.5068457507152555,2023,5,Miami
182,McLaren,1.7638645693891846,2023,6,Monaco
183,McLaren,1.2826415284888475,2023,7,Spain
184,McLaren,1.4970129722598395,2023,8,Montreal
185,McLaren,1.235904195400966,2023,9,Austria
186,McLaren,0.3881355644326636,2023,10,Silverstone
187,McLaren,0.632755575573642,2023,11,Budapest
188,McLaren,1.3342338893797103,2023,12,Spa
189,McLaren,1.1340335539353077,2023,13,Zandvoort
190,McLaren,0.7625363413034361,2023,14,Monza
191,McLaren,0.5046026955212848,2023,15,Singapore
192,McLaren,0.3291147058518108,2023,16,Suzuka
193,McLaren,0.0,2023,17,Qatar
194,McLaren,0.2125747705546019,2023,18,COTA
195,McLaren,0.8517956415687724,2023,19,Mexico
196,McLaren,0.1730017135655689,2023,20,Brazil
197,McLaren,0.3068819361972235,2023,21,Vegas
198,McLaren,0.4533934176560203,2023,22,Abu Dhabi
199,Ferrari,0.6648315812353761,2023,1,Bahrain
200,Ferrari,1.0532942318573877,2023,2,Jeddah
201,Ferrari,0.2308203791598773,2023,3,Australia
202,Ferrari,0.4762780679336773,2023,4,Baku
203,Ferrari,0.7930305508667277,2023,5,Miami
204,Ferrari,0.5249857609813683,2023,6,Monaco
205,Ferrari,0.8170492300090981,2023,7,Spain
206,Ferrari,0.6002518887705103,2023,8,Montreal
207,Ferrari,0.794377058635648,2023,9,Austria
208,Ferrari,0.7259453501284423,2023,10,Silverstone
209,Ferrari,1.0521092068679108,2023,11,Budapest
210,Ferrari,0.6634926465899941,2023,12,Spa
211,Ferrari,0.8661456782822051,2023,13,Zandvoort
212,Ferrari,0.213698985569332,2023,14,Monza
213,Ferrari,0.5077848492246594,2023,15,Singapore
214,Ferrari,0.9979109472443792,2023,16,Suzuka
215,Ferrari,0.7941760352620925,2023,17,Qatar
216,Ferrari,0.2922689793094968,2023,18,COTA
217,Ferrari,0.7016401750078873,2023,19,Mexico
218,Ferrari,0.9190478641912686,2023,20,Brazil
219,Ferrari,0.12582152729432,2023,21,Vegas
220,Ferrari,0.3214534535406965,2023,22,Abu Dhabi
