Pos|Team|Driver|Time|Lap|Points|Race_ID|Year
4|Red Bull|Verstappen|2.46|19||19|2023
5|Ferrari|Leclerc|2.49|31|12|19|2023
6|Aston Martin|Stroll|2.55|30|10|19|2023
7|Mercedes|Hamilton|2.56|24|8|19|2023
8|McLaren|Norris|2.60|33|6|19|2023
9|Mercedes|Russell|2.62|26|4|19|2023
10|Alpine|Gasly|2.81|28|2|19|2023
11|Aston Martin|Alonso|2.83|29|1|19|2023
12|McLaren|Norris|2.85|11||19|2023
13|Alfa Romeo|Zhou|2.92|21||19|2023
14|Haas|Hulkenberg|3.31|23||19|2023
15|McLaren|Piastri|3.37|25||19|2023
16|Haas|Magnussen|3.48|23||19|2023
17|Williams|Albon|3.58|33||19|2023
18|Alfa Romeo|Bottas|3.62|31||19|2023
19|Williams|Sargeant|4.23|22||19|2023
20|AlphaTauri|Tsunoda|10.15|9||19|2023
1|Red Bull|Verstappen|2.22|27|25|20|2023
2|McLaren|Piastri|2.25|23|18|20|2023
3|Red Bull|Perez|2.27|20|15|20|2023
4|AlphaTauri|Tsunoda|2.29|55|12|20|2023
5|Ferrari|Sainz|2.35|26|10|20|2023
6|Red Bull|Perez|2.37|46||20|2023
7|AlphaTauri|Tsunoda|2.40|26||20|2023
8|Aston Martin|Stroll|2.51|22|8|20|2023
9|McLaren|Piastri|2.52|52||20|2023
10|Red Bull|Verstappen|2.53|56||20|2023
11|Aston Martin|Alonso|2.58|47|6|20|2023
12|McLaren|Norris|2.58|59|4|20|2023
13|Alpine|Gasly|2.59|46|2|20|2023
14|AlphaTauri|Ricciardo|2.60|55|1|20|2023
15|Alfa Romeo|Zhou|2.61|15||20|2023
16|McLaren|Norris|2.62|27||20|2023
17|Mercedes|Hamilton|2.70|18||20|2023
18|Aston Martin|Alonso|2.81|25||20|2023
19|AlphaTauri|Ricciardo|2.83|26||20|2023
20|Alpine|Ocon|2.88|51||20|2023
21|Ferrari|Sainz|2.88|51||20|2023
22|Mercedes|Russell|2.92|19||20|2023
23|Alfa Romeo|Bottas|2.96|18||20|2023
24|Mercedes|Russell|3.08|45||20|2023
25|Mercedes|Hamilton|3.13|46||20|2023
26|Haas|Hulkenberg|3.15|46||20|2023
27|Alpine|Ocon|3.18|14||20|2023
28|Alpine|Ocon|3.20|31||20|2023
29|Haas|Hulkenberg|3.38|21||20|2023
30|Williams|Sargeant|3.43|44||20|2023
31|Williams|Sargeant|3.50|17||20|2023
32|Williams|Sargeant|3.57|1||20|2023
33|Alpine|Gasly|4.14|26||20|2023
34|Aston Martin|Stroll|4.32|52||20|2023
35|Haas|Hulkenberg|9.09|1||20|2023



