resultId,raceId,driverId,constructorId,driverCurrentNumber,grid,positionOrder,positionText,position,points,laps,totalRaceTime,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,1,18,23,22.0,1,1.0,1,1,10.0,58,1:34:15.784,5655784.0,17.0,3.0,1:28.020,216.891,1
2,1,22,23,23.0,2,2.0,2,2,8.0,58,+0.807,5656591.0,43.0,14.0,1:29.066,214.344,1
3,1,15,7,9.0,20,3.0,3,3,6.0,58,+1.604,5657388.0,50.0,10.0,1:28.916,214.706,1
4,1,10,7,10.0,19,4.0,4,4,5.0,58,+4.435,5660219.0,53.0,6.0,1:28.416,215.92,1
5,1,4,4,7.0,10,5.0,5,5,4.0,58,+4.879,5660663.0,53.0,9.0,1:28.712,215.199,1
6,1,3,3,16.0,5,6.0,6,6,3.0,58,+5.722,5661506.0,48.0,1.0,1:27.706,217.668,1
7,1,67,5,12.0,13,7.0,7,7,2.0,58,+6.004,5661788.0,34.0,16.0,1:29.230,213.95,1
8,1,7,5,11.0,17,8.0,8,8,1.0,58,+6.298,5662082.0,50.0,17.0,1:29.823,212.537,1
9,1,16,10,20.0,16,9.0,9,9,0.0,58,+6.335,5662119.0,43.0,11.0,1:28.943,214.64,1
10,1,2,2,6.0,9,10.0,10,10,0.0,58,+7.085,5662869.0,48.0,5.0,1:28.283,216.245,1
11,1,21,10,21.0,15,11.0,11,11,0.0,58,+7.374,5663158.0,51.0,12.0,1:29.005,214.491,1
12,1,17,9,14.0,8,12.0,12,12,0.0,57,,,38.0,8.0,1:28.508,215.695,11
13,1,20,9,15.0,3,13.0,13,13,0.0,56,,,8.0,4.0,1:28.140,216.596,4
14,1,9,2,5.0,4,14.0,14,14,0.0,55,,,36.0,2.0,1:27.988,216.97,4
15,1,8,6,4.0,7,15.0,15,15,0.0,55,,,35.0,7.0,1:28.488,215.744,24
16,1,13,6,3.0,6,,R,16,0.0,45,,,30.0,15.0,1:29.141,214.164,22
17,1,12,4,8.0,14,,R,17,0.0,24,,,17.0,19.0,1:30.502,210.943,20
18,1,6,3,17.0,11,,R,18,0.0,17,,,6.0,18.0,1:29.923,212.301,3
19,1,5,1,2.0,12,,R,19,0.0,0,,,,,,,4
20,1,1,1,1.0,18,,D,20,0.0,58,,,39.0,13.0,1:29.020,214.455,2
21,2,18,23,22.0,1,1.0,1,1,5.0,31,1:10:52.092,4252092.0,18.0,1.0,1:36.641,206.483,1
22,2,2,2,6.0,10,2.0,2,2,4.0,31,+22.722,4274814.0,17.0,10.0,1:39.084,201.392,1
23,2,10,7,10.0,3,3.0,3,3,3.0,31,+23.513,4275605.0,18.0,16.0,1:39.406,200.74,1
24,2,15,7,9.0,2,4.0,4,4,2.5,31,+46.173,4298265.0,12.0,3.0,1:37.591,204.473,1
25,2,22,23,23.0,8,5.0,5,5,2.0,31,+47.360,4299452.0,17.0,2.0,1:37.484,204.698,1
26,2,17,9,14.0,5,6.0,6,6,1.5,31,+52.333,4304425.0,14.0,5.0,1:37.672,204.304,1
27,2,1,1,1.0,12,7.0,7,7,1.0,31,+1:00.733,4312825.0,17.0,11.0,1:39.141,201.276,1
28,2,3,3,16.0,4,8.0,8,8,0.5,31,+1:11.576,4323668.0,13.0,4.0,1:37.598,204.459,1
29,2,13,6,3.0,16,9.0,9,9,0.0,31,+1:16.932,4329024.0,17.0,13.0,1:39.250,201.055,1
30,2,7,5,11.0,15,10.0,10,10,0.0,31,+1:42.164,4354256.0,17.0,12.0,1:39.242,201.072,1
31,2,4,4,7.0,9,11.0,11,11,0.0,31,,,17.0,9.0,1:39.006,201.551,11
32,2,6,3,17.0,11,12.0,12,12,0.0,31,,,17.0,15.0,1:39.387,200.778,11
33,2,12,4,8.0,17,13.0,13,13,0.0,31,,,18.0,14.0,1:39.268,201.019,11
34,2,8,6,4.0,7,14.0,14,14,0.0,31,,,17.0,7.0,1:38.453,202.683,11
35,2,20,9,15.0,13,15.0,15,15,0.0,30,,,10.0,6.0,1:38.427,202.737,20
36,2,67,5,12.0,20,16.0,16,16,0.0,30,,,16.0,8.0,1:38.938,201.689,20
37,2,16,10,20.0,19,17.0,17,17,0.0,30,,,17.0,18.0,1:39.464,200.623,11
38,2,21,10,21.0,18,18.0,18,18,0.0,29,,,16.0,17.0,1:39.407,200.738,20
39,2,9,2,5.0,6,,R,19,0.0,1,,,,,,,5
40,2,5,1,2.0,14,,R,20,0.0,0,,,,,,,20
41,3,20,9,15.0,1,1.0,1,1,10.0,56,1:57:43.485,7063485.0,42.0,2.0,1:52.627,174.235,1
42,3,17,9,14.0,3,2.0,2,2,8.0,56,+10.970,7074455.0,42.0,4.0,1:52.980,173.69,1
43,3,18,23,22.0,5,3.0,3,3,6.0,56,+44.975,7108460.0,44.0,6.0,1:53.546,172.825,1
44,3,22,23,23.0,4,4.0,4,4,5.0,56,+1:03.704,7127189.0,42.0,1.0,1:52.592,174.289,1
45,3,5,1,2.0,12,5.0,5,5,4.0,56,+1:05.102,7128587.0,41.0,10.0,1:54.516,171.361,1
46,3,1,1,1.0,9,6.0,6,6,3.0,56,+1:11.866,7135351.0,39.0,12.0,1:54.665,171.138,1
47,3,10,7,10.0,19,7.0,7,7,2.0,56,+1:14.476,7137961.0,42.0,3.0,1:52.703,174.117,1
48,3,67,5,12.0,10,8.0,8,8,1.0,56,+1:16.439,7139924.0,42.0,11.0,1:54.590,171.25,1
49,3,4,4,7.0,2,9.0,9,9,0.0,56,+1:24.309,7147794.0,38.0,9.0,1:54.481,171.413,1
50,3,8,6,4.0,8,10.0,10,10,0.0,56,+1:31.750,7155235.0,38.0,15.0,1:55.396,170.054,1
51,3,7,5,11.0,15,11.0,11,11,0.0,56,+1:34.156,7157641.0,43.0,5.0,1:53.474,172.934,1
52,3,2,2,6.0,11,12.0,12,12,0.0,56,+1:35.834,7159319.0,40.0,7.0,1:54.158,171.898,1
53,3,9,2,5.0,17,13.0,13,13,0.0,56,+1:46.853,7170338.0,44.0,14.0,1:55.350,170.122,1
54,3,21,10,21.0,20,14.0,14,14,0.0,55,,,37.0,18.0,1:56.239,168.821,11
55,3,3,3,16.0,7,15.0,15,15,0.0,55,,,55.0,8.0,1:54.243,171.77,11
56,3,12,4,8.0,16,16.0,16,16,0.0,54,,,42.0,16.0,1:55.535,169.849,12
57,3,16,10,20.0,18,17.0,17,17,0.0,50,,,41.0,13.0,1:54.777,170.971,20
58,3,6,3,17.0,14,,R,18,0.0,43,,,38.0,17.0,1:56.167,168.925,31
59,3,13,6,3.0,13,,R,19,0.0,20,,,16.0,19.0,1:56.484,168.466,40
60,3,15,7,9.0,6,,R,20,0.0,18,,,14.0,20.0,2:00.330,163.081,4
61,4,18,23,22.0,4,1.0,1,1,10.0,57,1:31:48.182,5508182.0,11.0,3.0,1:34.588,205.979,1
62,4,20,9,15.0,3,2.0,2,2,8.0,57,+7.187,5515369.0,16.0,4.0,1:34.756,205.614,1
63,4,15,7,9.0,1,3.0,3,3,6.0,57,+9.170,5517352.0,10.0,1.0,1:34.556,206.049,1
64,4,1,1,1.0,5,4.0,4,4,5.0,57,+22.096,5530278.0,13.0,6.0,1:34.915,205.269,1
65,4,22,23,23.0,6,5.0,5,5,4.0,57,+37.779,5545961.0,25.0,5.0,1:34.901,205.3,1
66,4,8,6,4.0,10,6.0,6,6,3.0,57,+42.057,5550239.0,42.0,11.0,1:35.498,204.016,1
67,4,10,7,10.0,2,7.0,7,7,2.0,57,+42.880,5551062.0,6.0,2.0,1:34.574,206.01,1
68,4,4,4,7.0,7,8.0,8,8,1.0,57,+52.775,5560957.0,29.0,14.0,1:35.722,203.539,1
69,4,3,3,16.0,9,9.0,9,9,0.0,57,+58.198,5566380.0,37.0,15.0,1:35.816,203.339,1
70,4,12,4,8.0,15,10.0,10,10,0.0,57,+1:05.149,5573331.0,37.0,10.0,1:35.441,204.138,1
71,4,17,9,14.0,18,11.0,11,11,0.0,57,+1:07.641,5575823.0,50.0,8.0,1:35.165,204.73,1
72,4,5,1,2.0,11,12.0,12,12,0.0,57,+1:17.824,5586006.0,54.0,12.0,1:35.520,203.969,1
73,4,7,5,11.0,20,13.0,13,13,0.0,57,+1:18.805,5586987.0,30.0,9.0,1:35.410,204.205,1
74,4,13,6,3.0,8,14.0,14,14,0.0,56,,,41.0,7.0,1:35.065,204.946,11
75,4,21,10,21.0,17,15.0,15,15,0.0,56,,,9.0,19.0,1:36.376,202.158,11
76,4,16,10,20.0,19,16.0,16,16,0.0,56,,,28.0,18.0,1:36.219,202.488,11
77,4,67,5,12.0,16,17.0,17,17,0.0,56,,,38.0,20.0,1:36.473,201.954,11
78,4,9,2,5.0,13,18.0,18,18,0.0,56,,,50.0,13.0,1:35.706,203.573,11
79,4,2,2,6.0,14,19.0,19,19,0.0,56,,,52.0,16.0,1:35.924,203.11,11
80,4,6,3,17.0,12,,R,20,0.0,48,,,39.0,17.0,1:36.153,202.627,51
81,5,18,23,22.0,1,1.0,1,1,10.0,66,1:37:19.202,5839202.0,17.0,2.0,1:22.899,202.149,1
82,5,22,23,23.0,3,2.0,2,2,8.0,66,+13.056,5852258.0,28.0,1.0,1:22.762,202.484,1
83,5,17,9,14.0,5,3.0,3,3,6.0,66,+13.924,5853126.0,18.0,5.0,1:23.112,201.631,1
84,5,20,9,15.0,2,4.0,4,4,5.0,66,+18.941,5858143.0,41.0,4.0,1:23.090,201.684,1
85,5,4,4,7.0,8,5.0,5,5,4.0,66,+43.166,5882368.0,14.0,6.0,1:23.420,200.887,1
86,5,13,6,3.0,4,6.0,6,6,3.0,66,+50.827,5890029.0,14.0,3.0,1:23.089,201.687,1
87,5,2,2,6.0,13,7.0,7,7,2.0,66,+52.312,5891514.0,29.0,10.0,1:23.878,199.79,1
88,5,3,3,16.0,9,8.0,8,8,1.0,66,+1:05.211,5904413.0,24.0,7.0,1:23.621,200.404,1
89,5,1,1,1.0,14,9.0,9,9,0.0,65,,,29.0,9.0,1:23.839,199.883,11
90,5,10,7,10.0,6,10.0,10,10,0.0,65,,,44.0,12.0,1:24.134,199.182,11
91,5,9,2,5.0,10,11.0,11,11,0.0,65,,,26.0,11.0,1:24.078,199.314,11
92,5,12,4,8.0,12,12.0,12,12,0.0,65,,,41.0,14.0,1:24.286,198.823,11
93,5,6,3,17.0,11,13.0,13,13,0.0,65,,,38.0,13.0,1:24.155,199.132,11
94,5,21,10,21.0,20,14.0,14,14,0.0,65,,,63.0,8.0,1:23.796,199.985,11
95,5,8,6,4.0,16,,R,15,0.0,17,,,16.0,15.0,1:24.490,198.342,9
96,5,5,1,2.0,18,,R,16,0.0,7,,,6.0,16.0,1:28.719,188.888,6
97,5,15,7,9.0,7,,R,17,0.0,0,,,,,,,4
98,5,67,5,12.0,15,,R,18,0.0,0,,,,,,,4
99,5,7,5,11.0,17,,R,19,0.0,0,,,,,,,4
100,5,16,10,20.0,19,,R,20,0.0,0,,,,,,,4
101,6,18,23,22.0,1,1.0,1,1,10.0,78,1:40:44.282,6044282.0,49.0,2.0,1:15.190,159.914,1
102,6,22,23,23.0,3,2.0,2,2,8.0,78,+7.666,6051948.0,46.0,7.0,1:15.685,158.868,1
103,6,8,6,4.0,2,3.0,3,3,6.0,78,+13.442,6057724.0,47.0,5.0,1:15.382,159.507,1
104,6,13,6,3.0,5,4.0,4,4,5.0,78,+15.110,6059392.0,50.0,1.0,1:15.154,159.991,1
105,6,17,9,14.0,8,5.0,5,5,4.0,78,+15.730,6060012.0,45.0,3.0,1:15.321,159.636,1
106,6,3,3,16.0,6,6.0,6,6,3.0,78,+33.586,6077868.0,48.0,9.0,1:15.772,158.686,1
107,6,4,4,7.0,9,7.0,7,7,2.0,78,+37.839,6082121.0,64.0,4.0,1:15.371,159.53,1
108,6,7,5,11.0,14,8.0,8,8,1.0,78,+1:03.142,6107424.0,47.0,13.0,1:16.178,157.84,1
109,6,21,10,21.0,13,9.0,9,9,0.0,78,+1:05.040,6109322.0,74.0,16.0,1:16.419,157.343,1
110,6,10,7,10.0,20,10.0,10,10,0.0,77,,,72.0,12.0,1:16.066,158.073,11
111,6,2,2,6.0,16,11.0,11,11,0.0,77,,,49.0,15.0,1:16.268,157.654,11
112,6,1,1,1.0,19,12.0,12,12,0.0,77,,,65.0,8.0,1:15.706,158.824,11
113,6,15,7,9.0,18,13.0,13,13,0.0,77,,,57.0,11.0,1:16.011,158.187,11
114,6,16,10,20.0,15,14.0,14,14,0.0,77,,,66.0,14.0,1:16.245,157.702,11
115,6,6,3,17.0,10,15.0,15,15,0.0,76,,,73.0,10.0,1:15.792,158.644,3
116,6,5,1,2.0,7,,R,16,0.0,51,,,48.0,6.0,1:15.672,158.896,3
117,6,9,2,5.0,17,,R,17,0.0,28,,,25.0,17.0,1:17.558,155.032,23
118,6,20,9,15.0,4,,R,18,0.0,15,,,15.0,18.0,1:17.634,154.88,3
119,6,12,4,8.0,12,,R,19,0.0,10,,,7.0,19.0,1:18.514,153.144,4
120,6,67,5,12.0,11,,R,20,0.0,10,,,7.0,20.0,1:18.582,153.012,4
121,7,18,23,22.0,2,1.0,1,1,10.0,58,1:26:24.848,5184848.0,40.0,1.0,1:27.579,219.422,1
122,7,17,9,14.0,4,2.0,2,2,8.0,58,+6.714,5191562.0,42.0,3.0,1:27.809,218.847,1
123,7,20,9,15.0,1,3.0,3,3,6.0,58,+7.461,5192309.0,51.0,2.0,1:27.622,219.314,1
124,7,15,7,9.0,5,4.0,4,4,5.0,58,+27.843,5212691.0,40.0,4.0,1:27.868,218.7,1
125,7,3,3,16.0,9,5.0,5,5,4.0,58,+31.539,5216387.0,36.0,11.0,1:28.222,217.823,1
126,7,13,6,3.0,7,6.0,6,6,3.0,58,+39.996,5224844.0,41.0,9.0,1:28.176,217.936,1
127,7,9,2,5.0,10,7.0,7,7,2.0,58,+46.247,5231095.0,58.0,7.0,1:28.008,218.352,1
128,7,10,7,10.0,13,8.0,8,8,1.0,58,+46.959,5231807.0,56.0,5.0,1:27.883,218.663,1
129,7,8,6,4.0,6,9.0,9,9,0.0,58,+50.246,5235094.0,58.0,8.0,1:28.061,218.221,1
130,7,4,4,7.0,8,10.0,10,10,0.0,58,+1:02.420,5247268.0,57.0,13.0,1:28.389,217.411,1
131,7,2,2,6.0,11,11.0,11,11,0.0,58,+1:04.327,5249175.0,43.0,10.0,1:28.214,217.842,1
132,7,6,3,17.0,12,12.0,12,12,0.0,58,+1:06.376,5251224.0,58.0,6.0,1:27.988,218.402,1
133,7,1,1,1.0,16,13.0,13,13,0.0,58,+1:20.454,5265302.0,53.0,15.0,1:28.562,216.986,1
134,7,5,1,2.0,14,14.0,14,14,0.0,57,,,41.0,18.0,1:29.174,215.497,11
135,7,67,5,12.0,18,15.0,15,15,0.0,57,,,57.0,16.0,1:28.624,216.835,11
136,7,12,4,8.0,17,16.0,16,16,0.0,57,,,45.0,12.0,1:28.340,217.532,11
137,7,16,10,20.0,15,17.0,17,17,0.0,57,,,55.0,19.0,1:29.192,215.454,11
138,7,7,5,11.0,20,18.0,18,18,0.0,57,,,53.0,17.0,1:29.022,215.865,11
139,7,22,23,23.0,3,,R,19,0.0,47,,,37.0,14.0,1:28.526,217.075,6
140,7,21,10,21.0,19,,R,20,0.0,4,,,3.0,20.0,1:34.070,204.281,23
141,8,20,9,15.0,1,1.0,1,1,10.0,60,1:22:49.328,4969328.0,16.0,1.0,1:20.735,229.238,1
142,8,17,9,14.0,3,2.0,2,2,8.0,60,+15.188,4984516.0,57.0,2.0,1:20.915,228.728,1
143,8,22,23,23.0,2,3.0,3,3,6.0,60,+41.175,5010503.0,18.0,5.0,1:21.429,227.285,1
144,8,13,6,3.0,11,4.0,4,4,5.0,60,+45.043,5014371.0,22.0,6.0,1:21.509,227.062,1
145,8,3,3,16.0,7,5.0,5,5,4.0,60,+45.915,5015243.0,17.0,3.0,1:21.054,228.336,1
146,8,18,23,22.0,6,6.0,6,6,3.0,60,+46.285,5015613.0,54.0,4.0,1:21.189,227.956,1
147,8,15,7,9.0,4,7.0,7,7,2.0,60,+1:08.307,5037635.0,17.0,9.0,1:21.806,226.237,1
148,8,8,6,4.0,9,8.0,8,8,1.0,60,+1:09.622,5038950.0,14.0,7.0,1:21.656,226.653,1
149,8,10,7,10.0,8,9.0,9,9,0.0,60,+1:09.823,5039151.0,51.0,8.0,1:21.671,226.611,1
150,8,21,10,21.0,16,10.0,10,10,0.0,60,+1:11.522,5040850.0,20.0,10.0,1:21.810,226.226,1
151,8,6,3,17.0,5,11.0,11,11,0.0,60,+1:14.023,5043351.0,14.0,11.0,1:21.845,226.129,1
152,8,12,4,8.0,14,12.0,12,12,0.0,59,,,25.0,17.0,1:22.505,224.32,11
153,8,9,2,5.0,12,13.0,13,13,0.0,59,,,41.0,14.0,1:22.182,225.202,11
154,8,4,4,7.0,10,14.0,14,14,0.0,59,,,36.0,12.0,1:21.852,226.11,11
155,8,2,2,6.0,15,15.0,15,15,0.0,59,,,59.0,13.0,1:21.956,225.823,11
156,8,1,1,1.0,18,16.0,16,16,0.0,59,,,24.0,18.0,1:22.576,224.128,11
157,8,16,10,20.0,20,17.0,17,17,0.0,59,,,50.0,20.0,1:23.475,221.714,11
158,8,67,5,12.0,19,18.0,18,18,0.0,59,,,24.0,19.0,1:22.711,223.762,11
159,8,7,5,11.0,17,,R,19,0.0,37,,,26.0,16.0,1:22.466,224.427,4
160,8,5,1,2.0,13,,R,20,0.0,36,,,32.0,15.0,1:22.418,224.557,4
161,9,17,9,14.0,1,1.0,1,1,10.0,60,1:36:43.310,5803310.0,37.0,3.0,1:34.003,197.151,1
162,9,20,9,15.0,4,2.0,2,2,8.0,60,+9.252,5812562.0,42.0,4.0,1:34.089,196.97,1
163,9,13,6,3.0,8,3.0,3,3,6.0,60,+15.906,5819216.0,53.0,8.0,1:34.458,196.201,1
164,9,3,3,16.0,15,4.0,4,4,5.0,60,+21.099,5824409.0,50.0,7.0,1:34.403,196.315,1
165,9,18,23,22.0,3,5.0,5,5,4.0,60,+23.609,5826919.0,53.0,6.0,1:34.252,196.63,1
166,9,22,23,23.0,2,6.0,6,6,3.0,60,+24.468,5827778.0,54.0,11.0,1:34.676,195.749,1
167,9,4,4,7.0,12,7.0,7,7,2.0,60,+24.888,5828198.0,49.0,1.0,1:33.365,198.498,1
168,9,5,1,2.0,6,8.0,8,8,1.0,60,+58.692,5862002.0,59.0,17.0,1:35.524,194.011,1
169,9,10,7,10.0,20,9.0,9,9,0.0,60,+1:01.457,5864767.0,40.0,16.0,1:35.369,194.327,1
170,9,2,2,6.0,11,10.0,10,10,0.0,60,+1:01.925,5865235.0,42.0,10.0,1:34.559,195.991,1
171,9,21,10,21.0,18,11.0,11,11,0.0,60,+1:02.327,5865637.0,54.0,13.0,1:35.301,194.465,1
172,9,6,3,17.0,13,12.0,12,12,0.0,60,+1:02.876,5866186.0,49.0,5.0,1:34.238,196.659,1
173,9,12,4,8.0,10,13.0,13,13,0.0,60,+1:08.328,5871638.0,46.0,12.0,1:34.876,195.337,1
174,9,9,2,5.0,16,14.0,14,14,0.0,60,+1:09.555,5872865.0,47.0,9.0,1:34.537,196.037,1
175,9,16,10,20.0,7,15.0,15,15,0.0,60,+1:11.941,5875251.0,43.0,14.0,1:35.366,194.333,1
176,9,67,5,12.0,17,16.0,16,16,0.0,60,+1:30.225,5893535.0,24.0,19.0,1:36.279,192.49,1
177,9,15,7,9.0,14,17.0,17,17,0.0,60,+1:30.970,5894280.0,52.0,2.0,1:33.654,197.885,1
178,9,1,1,1.0,5,18.0,18,18,0.0,59,,,46.0,15.0,1:35.367,194.331,11
179,9,8,6,4.0,9,,R,19,0.0,34,,,4.0,18.0,1:36.080,192.889,5
180,9,7,5,11.0,19,,R,20,0.0,18,,,10.0,20.0,1:37.498,190.083,9
181,10,1,1,1.0,4,1.0,1,1,10.0,70,1:38:23.876,5903876.0,16.0,4.0,1:22.479,191.219,1
182,10,8,6,4.0,7,2.0,2,2,8.0,70,+11.529,5915405.0,70.0,2.0,1:22.434,191.323,1
183,10,17,9,14.0,3,3.0,3,3,6.0,70,+16.886,5920762.0,65.0,1.0,1:21.931,192.498,1
184,10,3,3,16.0,5,4.0,4,4,5.0,70,+26.967,5930843.0,65.0,3.0,1:22.468,191.245,1
185,10,5,1,2.0,6,5.0,5,5,4.0,70,+34.392,5938268.0,63.0,8.0,1:22.958,190.115,1
186,10,10,7,10.0,13,6.0,6,6,3.0,70,+35.237,5939113.0,63.0,5.0,1:22.506,191.157,1
187,10,18,23,22.0,8,7.0,7,7,2.0,70,+55.088,5958964.0,57.0,6.0,1:22.706,190.694,1
188,10,15,7,9.0,11,8.0,8,8,1.0,70,+1:08.172,5972048.0,65.0,13.0,1:23.261,189.423,1
189,10,6,3,17.0,9,9.0,9,9,0.0,70,+1:08.774,5972650.0,55.0,11.0,1:23.180,189.608,1
190,10,22,23,23.0,12,10.0,10,10,0.0,70,+1:09.256,5973132.0,55.0,9.0,1:23.024,189.964,1
191,10,2,2,6.0,15,11.0,11,11,0.0,70,+1:10.612,5974488.0,65.0,14.0,1:23.282,189.375,1
192,10,12,4,8.0,14,12.0,12,12,0.0,70,+1:11.512,5975388.0,65.0,15.0,1:23.418,189.067,1
193,10,9,2,5.0,18,13.0,13,13,0.0,70,+1:14.046,5977922.0,65.0,12.0,1:23.224,189.507,1
194,10,21,10,21.0,16,14.0,14,14,0.0,69,,,40.0,10.0,1:23.174,189.621,11
195,10,153,5,11.0,19,15.0,15,15,0.0,69,,,69.0,16.0,1:23.444,189.008,11
196,10,67,5,12.0,10,16.0,16,16,0.0,69,,,69.0,7.0,1:22.955,190.122,11
197,10,20,9,15.0,2,,R,17,0.0,29,,,18.0,17.0,1:23.457,188.978,22
198,10,4,4,7.0,1,,R,18,0.0,15,,,4.0,18.0,1:23.529,188.815,36
199,10,16,10,20.0,17,,R,19,0.0,1,,,,,,,25
200,10,13,6,3.0,0,,W,20,0.0,0,,,,,,,54
201,11,22,23,23.0,3,1.0,1,1,10.0,57,1:35:51.289,5751289.0,39.0,3.0,1:38.990,197.074,1
202,11,1,1,1.0,1,2.0,2,2,8.0,57,+2.358,5753647.0,57.0,4.0,1:39.056,196.943,1
203,11,8,6,4.0,6,3.0,3,3,6.0,57,+15.994,5767283.0,39.0,5.0,1:39.207,196.643,1
204,11,5,1,2.0,2,4.0,4,4,5.0,57,+20.032,5771321.0,56.0,7.0,1:39.341,196.378,1
205,11,3,3,16.0,7,5.0,5,5,4.0,57,+20.870,5772159.0,52.0,6.0,1:39.329,196.401,1
206,11,4,4,7.0,8,6.0,6,6,3.0,57,+27.744,5779033.0,46.0,10.0,1:39.494,196.076,1
207,11,18,23,22.0,5,7.0,7,7,2.0,57,+34.913,5786202.0,46.0,2.0,1:38.874,197.305,1
208,11,9,2,5.0,10,8.0,8,8,1.0,57,+36.667,5787956.0,55.0,8.0,1:39.374,196.312,1
209,11,17,9,14.0,9,9.0,9,9,0.0,57,+44.910,5796199.0,50.0,11.0,1:39.528,196.009,1
210,11,16,10,20.0,12,10.0,10,10,0.0,57,+47.935,5799224.0,36.0,12.0,1:39.622,195.824,1
211,11,2,2,6.0,11,11.0,11,11,0.0,57,+48.822,5800111.0,53.0,13.0,1:39.704,195.663,1
212,11,21,10,21.0,16,12.0,12,12,0.0,57,+1:03.614,5814903.0,53.0,17.0,1:40.111,194.867,1
213,11,15,7,9.0,18,13.0,13,13,0.0,57,+1:04.527,5815816.0,52.0,15.0,1:39.941,195.199,1
214,11,10,7,10.0,13,14.0,14,14,0.0,57,+1:26.519,5837808.0,55.0,1.0,1:38.683,197.687,1
215,11,154,4,8.0,14,15.0,15,15,0.0,57,+1:31.774,5843063.0,41.0,9.0,1:39.428,196.206,1
216,11,153,5,11.0,19,16.0,16,16,0.0,56,,,29.0,19.0,1:40.935,193.276,11
217,11,69,6,3.0,20,17.0,17,17,0.0,56,,,52.0,18.0,1:40.590,193.939,11
218,11,6,3,17.0,17,18.0,18,18,0.0,54,,,53.0,14.0,1:39.747,195.578,13
219,11,67,5,12.0,15,,R,19,0.0,41,,,37.0,20.0,1:41.042,193.072,23
220,11,20,9,15.0,4,,R,20,0.0,23,,,13.0,16.0,1:39.992,195.099,5
221,12,8,6,4.0,6,1.0,1,1,10.0,44,1:23:50.995,5030995.0,42.0,4.0,1:47.674,234.173,1
222,12,21,10,21.0,1,2.0,2,2,8.0,44,+0.939,5031934.0,43.0,6.0,1:47.737,234.036,1
223,12,20,9,15.0,8,3.0,3,3,6.0,44,+3.875,5034870.0,38.0,1.0,1:47.263,235.07,1
224,12,9,2,5.0,5,4.0,4,4,5.0,44,+9.966,5040961.0,41.0,3.0,1:47.664,234.195,1
225,12,2,2,6.0,3,5.0,5,5,4.0,44,+11.276,5042271.0,35.0,2.0,1:47.371,234.834,1
226,12,5,1,2.0,15,6.0,6,6,3.0,44,+32.763,5063758.0,24.0,13.0,1:48.348,232.716,1
227,12,22,23,23.0,4,7.0,7,7,2.0,44,+35.461,5066456.0,37.0,12.0,1:48.257,232.912,1
228,12,3,3,16.0,10,8.0,8,8,1.0,44,+36.208,5067203.0,41.0,8.0,1:47.766,233.973,1
229,12,17,9,14.0,9,9.0,9,9,0.0,44,+36.959,5067954.0,39.0,9.0,1:47.783,233.936,1
230,12,10,7,10.0,7,10.0,10,10,0.0,44,+41.490,5072485.0,40.0,5.0,1:47.736,234.038,1
231,12,16,10,20.0,11,11.0,11,11,0.0,44,+42.636,5073631.0,42.0,10.0,1:47.859,233.771,1
232,12,67,5,12.0,16,12.0,12,12,0.0,44,+46.106,5077101.0,42.0,7.0,1:47.763,233.98,1
233,12,6,3,17.0,18,13.0,13,13,0.0,44,+54.241,5085236.0,42.0,11.0,1:48.205,233.024,1
234,12,69,6,3.0,20,14.0,14,14,0.0,44,+1:42.177,5133172.0,41.0,15.0,1:49.803,229.633,1
235,12,4,4,7.0,13,,R,15,0.0,26,,,23.0,14.0,1:48.634,232.104,31
236,12,15,7,9.0,2,,R,16,0.0,21,,,16.0,16.0,1:50.029,229.161,23
237,12,18,23,22.0,14,,R,17,0.0,0,,,,,,,4
238,12,154,4,8.0,19,,R,18,0.0,0,,,,,,,4
239,12,1,1,1.0,12,,R,19,0.0,0,,,,,,,4
240,12,153,5,11.0,17,,R,20,0.0,0,,,,,,,4
241,13,22,23,23.0,5,1.0,1,1,10.0,53,1:16:21.706,4581706.0,48.0,5.0,1:24.967,245.445,1
242,13,18,23,22.0,6,2.0,2,2,8.0,53,+2.866,4584572.0,46.0,4.0,1:24.935,245.538,1
243,13,8,6,4.0,3,3.0,3,3,6.0,53,+30.664,4612370.0,36.0,2.0,1:24.761,246.042,1
244,13,16,10,20.0,2,4.0,4,4,5.0,53,+31.131,4612837.0,36.0,1.0,1:24.739,246.106,1
245,13,4,4,7.0,8,5.0,5,5,4.0,53,+59.182,4640888.0,50.0,8.0,1:25.199,244.777,1
246,13,5,1,2.0,4,6.0,6,6,3.0,53,+1:00.693,4642399.0,51.0,6.0,1:25.109,245.036,1
247,13,2,2,6.0,15,7.0,7,7,2.0,53,+1:22.412,4664118.0,30.0,9.0,1:25.488,243.95,1
248,13,20,9,15.0,9,8.0,8,8,1.0,53,+1:25.407,4667113.0,50.0,7.0,1:25.194,244.791,1
249,13,21,6,3.0,14,9.0,9,9,0.0,53,+1:26.856,4668562.0,28.0,10.0,1:25.498,243.921,1
250,13,6,3,17.0,17,10.0,10,10,0.0,53,+2:42.163,4743869.0,51.0,16.0,1:25.976,242.565,1
251,13,10,7,10.0,16,11.0,11,11,0.0,53,+2:43.925,4745631.0,50.0,14.0,1:25.751,243.201,1
252,13,1,1,1.0,1,12.0,12,12,0.0,52,,,52.0,3.0,1:24.802,245.923,3
