resultId,raceId,driverId,constructorId,driverCurrentNumber,grid,positionOrder,positionText,position,points,laps,totalRaceTime,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25216,1063,846,1,4.0,15,14.0,14,14,0.0,1,+27.110,234181.0,,0.0,,,1
25217,1063,852,213,22.0,16,15.0,15,15,0.0,1,+28.329,235400.0,,0.0,,,1
25218,1063,854,210,47.0,17,16.0,16,16,0.0,1,+29.507,236578.0,,0.0,,,1
25219,1063,853,210,9.0,18,17.0,17,17,0.0,1,+31.993,239064.0,,0.0,,,1
25220,1063,8,51,7.0,0,18.0,18,18,0.0,1,+36.054,243125.0,,0.0,,,1
25221,1063,815,9,11.0,0,19.0,19,19,0.0,1,+38.205,245276.0,,0.0,,,1
25222,1063,840,117,18.0,19,20.0,20,20,0.0,1,+44.108,251179.0,,0.0,,,1
25223,1064,830,9,33.0,1,1.0,1,1,25.0,72,1:30:05.395,5405395.0,60.0,3.0,1:13.275,209.244,1
25224,1064,1,131,44.0,2,2.0,2,2,19.0,72,+20.932,5426327.0,72.0,1.0,1:11.097,215.654,1
25225,1064,822,131,77.0,3,3.0,3,3,15.0,72,+56.460,5461855.0,69.0,2.0,1:12.549,211.338,1
25226,1064,842,213,10.0,4,4.0,4,4,12.0,71,,,57.0,10.0,1:14.818,204.929,11
25227,1064,844,6,16.0,5,5.0,5,5,10.0,71,,,58.0,9.0,1:14.780,205.033,11
25228,1064,4,214,14.0,9,6.0,6,6,8.0,71,,,60.0,7.0,1:14.323,206.294,11
25229,1064,832,6,55.0,6,7.0,7,7,6.0,71,,,45.0,13.0,1:15.260,203.725,11
25230,1064,815,9,11.0,0,8.0,8,8,4.0,71,,,59.0,4.0,1:13.461,208.714,11
25231,1064,839,214,31.0,8,9.0,9,9,2.0,71,,,54.0,8.0,1:14.675,205.321,11
25232,1064,846,1,4.0,13,10.0,10,10,1.0,71,,,48.0,6.0,1:14.236,206.535,11
25233,1064,817,1,3.0,10,11.0,11,11,0.0,71,,,59.0,11.0,1:14.920,204.65,11
25234,1064,840,117,18.0,12,12.0,12,12,0.0,70,,,57.0,15.0,1:15.611,202.78,12
25235,1064,20,117,5.0,15,13.0,13,13,0.0,70,,,63.0,5.0,1:13.958,207.312,12
25236,1064,841,51,99.0,7,14.0,14,14,0.0,70,,,66.0,12.0,1:15.125,204.091,12
25237,1064,9,51,88.0,16,15.0,15,15,0.0,70,,,44.0,14.0,1:15.442,203.234,12
25238,1064,849,3,6.0,0,16.0,16,16,0.0,70,,,25.0,18.0,1:15.790,202.301,12
25239,1064,847,3,63.0,11,17.0,17,17,0.0,69,,,57.0,16.0,1:15.628,202.734,6
25240,1064,854,210,47.0,17,18.0,18,18,0.0,69,,,36.0,19.0,1:15.927,201.936,13
25241,1064,852,213,22.0,14,,R,19,0.0,48,,,44.0,17.0,1:15.783,202.319,131
25242,1064,853,210,9.0,18,,R,20,0.0,41,,,35.0,20.0,1:16.066,201.567,9
25243,1065,817,1,3.0,2,1.0,1,1,26.0,53,1:21:54.365,4914365.0,53.0,1.0,1:24.812,245.894,1
25244,1065,846,1,4.0,3,2.0,2,2,18.0,53,+1.747,4916112.0,53.0,3.0,1:24.971,245.434,1
25245,1065,822,131,77.0,19,3.0,3,3,15.0,53,+4.921,4919286.0,34.0,2.0,1:24.827,245.85,1
25246,1065,844,6,16.0,5,4.0,4,4,12.0,53,+7.309,4921674.0,53.0,6.0,1:25.319,244.433,1
25247,1065,815,9,11.0,8,5.0,5,5,10.0,53,+8.723,4923088.0,53.0,4.0,1:25.156,244.901,1
25248,1065,832,6,55.0,6,6.0,6,6,8.0,53,+10.535,4924900.0,53.0,8.0,1:25.559,243.747,1
25249,1065,840,117,18.0,9,7.0,7,7,6.0,53,+15.804,4930169.0,52.0,13.0,1:25.853,242.912,1
25250,1065,4,214,14.0,10,8.0,8,8,4.0,53,+17.201,4931566.0,52.0,7.0,1:25.472,243.995,1
25251,1065,847,3,63.0,14,9.0,9,9,2.0,53,+19.742,4934107.0,53.0,11.0,1:25.835,242.963,1
25252,1065,839,214,31.0,12,10.0,10,10,1.0,53,+20.868,4935233.0,53.0,9.0,1:25.566,243.727,1
25253,1065,849,3,6.0,13,11.0,11,11,0.0,53,+23.743,4938108.0,50.0,16.0,1:25.953,242.63,1
25254,1065,20,117,5.0,11,12.0,12,12,0.0,53,+24.621,4938986.0,50.0,15.0,1:25.938,242.672,1
25255,1065,841,51,99.0,7,13.0,13,13,0.0,53,+27.216,4941581.0,50.0,10.0,1:25.718,243.295,1
25256,1065,9,51,88.0,17,14.0,14,14,0.0,53,+29.769,4944134.0,53.0,12.0,1:25.849,242.924,1
25257,1065,854,210,47.0,18,15.0,15,15,0.0,53,+51.088,4965453.0,52.0,17.0,1:26.707,240.52,1
25258,1065,853,210,9.0,16,,R,16,0.0,41,,,41.0,18.0,1:27.202,239.155,131
25259,1065,1,131,44.0,4,,R,17,0.0,25,,,3.0,14.0,1:25.870,242.864,4
25260,1065,830,9,33.0,1,,R,18,0.0,25,,,25.0,5.0,1:25.173,244.852,4
25261,1065,842,213,10.0,0,,R,19,0.0,3,,,2.0,19.0,1:29.005,234.31,22
25262,1065,852,213,22.0,0,,W,20,0.0,0,,,,0.0,,,23
25263,1066,1,131,44.0,4,1.0,1,1,25.0,53,1:30:41.001,5441001.0,43.0,2.0,1:37.575,215.76,1
25264,1066,830,9,33.0,20,2.0,2,2,18.0,53,+53.271,5494272.0,28.0,5.0,1:38.396,213.959,1
25265,1066,832,6,55.0,2,3.0,3,3,15.0,53,+1:02.475,5503476.0,40.0,12.0,1:39.294,212.024,1
25266,1066,817,1,3.0,5,4.0,4,4,12.0,53,+1:05.607,5506608.0,24.0,9.0,1:39.124,212.388,1
25267,1066,822,131,77.0,16,5.0,5,5,10.0,53,+1:07.533,5508534.0,31.0,3.0,1:38.216,214.352,1
25268,1066,4,214,14.0,6,6.0,6,6,8.0,53,+1:21.321,5522322.0,44.0,6.0,1:38.686,213.331,1
25269,1066,846,1,4.0,1,7.0,7,7,7.0,53,+1:27.224,5528225.0,39.0,1.0,1:37.423,216.096,1
25270,1066,8,51,7.0,13,8.0,8,8,4.0,53,+1:28.955,5529956.0,34.0,16.0,1:40.289,209.921,1
25271,1066,815,9,11.0,8,9.0,9,9,2.0,53,+1:30.076,5531077.0,45.0,10.0,1:39.215,212.193,1
25272,1066,847,3,63.0,3,10.0,10,10,1.0,53,+1:40.551,5541552.0,40.0,18.0,1:40.596,209.28,1
25273,1066,840,117,18.0,7,11.0,11,11,0.0,53,+1:46.198,5547199.0,35.0,17.0,1:40.464,209.555,1
25274,1066,20,117,5.0,10,12.0,12,12,0.0,52,,,44.0,11.0,1:39.251,212.116,11
25275,1066,842,213,10.0,11,13.0,13,13,0.0,52,,,35.0,4.0,1:38.279,214.214,11
25276,1066,839,214,31.0,9,14.0,14,14,0.0,52,,,34.0,19.0,1:40.598,209.276,11
25277,1066,844,6,16.0,19,15.0,15,15,0.0,52,,,45.0,7.0,1:38.994,212.667,11
25278,1066,841,51,99.0,17,16.0,16,16,0.0,52,,,39.0,8.0,1:39.058,212.53,11
25279,1066,852,213,22.0,12,17.0,17,17,0.0,52,,,42.0,13.0,1:39.960,210.612,11
25280,1066,853,210,9.0,15,18.0,18,18,0.0,51,,,24.0,20.0,1:41.713,206.982,12
25281,1066,849,3,6.0,18,19.0,19,19,0.0,47,,,42.0,14.0,1:40.000,210.528,3
