qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
114,6,7,5,11,14,1:16.120,1:16.281,\N
115,6,16,10,20,15,1:16.248,1:16.545,\N
116,6,1,1,1,16,1:16.264,\N,\N
117,6,2,2,6,17,1:16.264,\N,\N
118,6,9,2,5,18,1:16.405,\N,\N
119,6,15,7,9,19,1:16.548,\N,\N
120,6,10,7,10,20,1:16.788,\N,\N
121,7,20,9,15,1,1:27.330,1:27.016,1:28.316
122,7,18,23,22,2,1:27.355,1:27.230,1:28.421
123,7,22,23,23,3,1:27.371,1:27.418,1:28.579
124,7,17,9,14,4,1:27.466,1:27.416,1:28.613
125,7,15,7,9,5,1:27.529,1:27.195,1:28.666
126,7,8,6,4,6,1:27.556,1:27.387,1:28.815
127,7,13,6,3,7,1:27.508,1:27.349,1:28.858
128,7,4,4,7,8,1:27.988,1:27.473,1:29.075
129,7,3,3,16,9,1:27.517,1:27.418,1:29.191
130,7,9,2,5,10,1:27.788,1:27.455,1:29.357
131,7,2,2,6,11,1:27.795,1:27.521,\N
132,7,6,3,17,12,1:27.691,1:27.629,\N
133,7,10,7,10,13,1:28.160,1:27.795,\N
134,7,5,1,2,14,1:28.199,1:28.207,\N
135,7,16,10,20,15,1:28.278,1:28.391,\N
136,7,1,1,1,16,1:28.318,\N,\N
137,7,12,4,8,17,1:28.582,\N,\N
138,7,67,5,12,18,1:28.708,\N,\N
139,7,21,10,21,19,1:28.717,\N,\N
140,7,7,5,11,20,1:28.918,\N,\N
141,8,20,9,15,1,1:18.685,1:18.119,1:19.509
142,8,22,23,23,2,1:19.325,1:18.335,1:19.856
143,8,17,9,14,3,1:18.674,1:18.209,1:19.868
144,8,15,7,9,4,1:18.886,1:18.240,1:20.091
145,8,6,3,17,5,1:18.530,1:18.575,1:20.216
146,8,18,23,22,6,1:18.957,1:18.663,1:20.289
147,8,3,3,16,7,1:19.228,1:18.591,1:20.361
148,8,10,7,10,8,1:19.198,1:18.791,1:20.490
149,8,8,6,4,9,1:19.010,1:18.566,1:20.715
150,8,4,4,7,10,1:19.167,1:18.761,1:20.741
151,8,13,6,3,11,1:19.148,1:18.927,\N
152,8,9,2,5,12,1:19.730,1:19.308,\N
153,8,5,1,2,13,1:19.732,1:19.353,\N
154,8,12,4,8,14,1:19.555,1:19.392,\N
155,8,2,2,6,15,1:19.559,1:19.448,\N
156,8,21,10,21,16,1:19.802,\N,\N
157,8,7,5,11,17,1:19.898,\N,\N
158,8,16,10,20,18,1:19.909,\N,\N
159,8,1,1,1,19,1:19.917,\N,\N
160,8,67,5,12,20,1:20.236,\N,\N
161,9,17,9,14,1,1:31.257,1:38.038,1:32.230
162,9,22,23,23,2,1:31.482,1:34.455,1:32.357
163,9,18,23,22,3,1:31.568,1:39.032,1:32.473
164,9,20,9,15,4,1:31.430,1:39.504,1:32.480
165,9,1,1,1,5,1:31.473,1:39.149,1:32.616
166,9,5,1,2,6,1:31.881,1:40.826,1:33.859
167,9,16,10,20,7,1:32.015,1:36.740,1:34.316
168,9,13,6,3,8,1:31.600,1:41.708,1:34.574
169,9,8,6,4,9,1:31.869,1:41.730,1:34.710
170,9,12,4,8,10,1:32.128,1:35.737,1:34.803
171,9,2,2,6,11,1:31.771,1:42.310,\N
172,9,4,4,7,12,1:31.302,1:42.318,\N
173,9,6,3,17,13,1:31.884,1:42.500,\N
174,9,15,7,9,14,1:31.760,1:42.771,\N
175,9,3,3,16,15,1:31.598,1:42.859,\N
176,9,9,2,5,16,1:32.190,\N,\N
177,9,67,5,12,17,1:32.251,\N,\N
178,9,21,10,21,18,1:32.402,\N,\N
179,9,10,7,10,19,1:32.423,\N,\N
180,9,7,5,11,20,1:33.559,\N,\N
181,10,4,4,7,1,1:21.313,1:20.826,1:21.569
182,10,20,9,15,2,1:21.178,1:20.604,1:21.607
183,10,17,9,14,3,1:20.964,1:20.358,1:21.741
184,10,1,1,1,4,1:20.842,1:20.465,1:21.839
185,10,3,3,16,5,1:20.793,1:20.862,1:21.890
186,10,5,1,2,6,1:21.659,1:20.807,1:22.095
187,10,8,6,4,7,1:21.500,1:20.647,1:22.468
188,10,18,23,22,8,1:21.471,1:20.707,1:22.511
189,10,6,3,17,9,1:21.407,1:20.570,1:22.835
190,10,13,6,3,10,1:21.420,1:20.823,\N
191,10,67,5,12,11,1:21.571,1:21.002,\N
192,10,15,7,9,12,1:21.416,1:21.082,\N
193,10,22,23,23,13,1:21.558,1:21.222,\N
194,10,10,7,10,14,1:21.584,1:21.242,\N
195,10,12,4,8,15,1:21.278,1:21.389,\N
196,10,2,2,6,16,1:21.738,\N,\N
197,10,21,10,21,17,1:21.807,\N,\N
198,10,16,10,20,18,1:21.868,\N,\N
199,10,9,2,5,19,1:21.901,\N,\N
200,10,153,5,11,20,1:22.359,\N,\N
201,11,1,1,1,1,1:38.649,1:38.182,1:39.489
202,11,5,1,2,2,1:38.816,1:38.230,1:39.532
203,11,22,23,23,3,1:39.019,1:38.076,1:39.563
